doi,q1_climate_neutrality,q1_comment,q2_region,q2_comment,q3_sector,q3_comment,q4_method,q4_comment
"10.3389/fbuil.2025.1681714
",yes,,yes,,yes,,yes,
"10.1016/j.ecolind.2024.112580
",unclear,"The study uses carbon neutrality as a constraint/vision to assess green development efficiency, but does not explicitly model or provide a pathway to achieve climate neutrality itself.",yes,,yes,,yes,
"10.1016/j.energy.2025.139810
",no,,yes,,yes,,no,
"10.1007/s44246-025-00243-3
",no,,yes,,yes,,yes,
"10.1016/j.iref.2025.103964
",no,,yes,,yes,,yes,
"10.3390/f15122225
",no,,yes,,yes,,yes,
"10.1109/CIEEC60922.2024.10583848
",no,,unclear,"The abstract mentions 'an agricultural park in a certain place' but does not specify any particular region, country, or city.",yes,,yes,
"10.1007/978-981-96-1812-5_7
",unclear,"The abstract mentions 'zero-carbon' operation and cities as a goal, but the paper focuses on a prediction algorithm for PV power generation rather than actually modeling or assessing a climate-neutral pathway or system configuration.",yes,,yes,,no,
"10.1016/j.resconrec.2022.106392
",no,,yes,,yes,,no,
"10.1016/j.solmat.2026.114196
",unclear,"The abstract mentions 'carbon-neutral water and power co-generation' and 'without additional carbon emissions', but does not provide a detailed assessment or modeling of a climate-neutral pathway; it is more of a material/device study with a claim of low-carbon operation.",no,,yes,,no,
"10.1016/j.scitotenv.2023.166123
",no,,yes,,yes,,yes,
"10.1016/j.biortech.2023.128718
",no,,yes,,yes,,yes,
"10.1134/S0001433824700877
",yes,,yes,,yes,,yes,
"10.1016/j.jenvman.2025.126416
",yes,,yes,,yes,,yes,
"10.3864/j.issn.0578-1752.2025.18.010
",no,,yes,,yes,,yes,
"10.3390/f15050816
",yes,,yes,,yes,,yes,
"10.1016/j.esr.2026.102096
",yes,,yes,,yes,,yes,
"10.1088/1742-6596/3036/1/012008
",no,,unclear,"The abstract mentions 'urban' carbon emissions but does not specify any particular city, region, or country.",yes,,yes,
"10.1016/j.spc.2025.09.005
",no,,yes,,yes,,yes,
"10.3390/en17236129
",no,,no,,yes,,no,
"10.1109/ICEEI59426.2023.10346794
",yes,,yes,,yes,,yes,
"10.1016/j.energy.2023.128643
",unclear,"The abstract mentions a '100% renewable energy pathway' and 'climate neutrality' as a goal, and models emissions reductions, but does not clearly demonstrate that a fully climate-neutral outcome is achieved—only that emissions are reduced significantly.",yes,,yes,,yes,
"10.1111/cwe.12554
",no,,yes,,yes,,yes,
"10.3390/ijerph19116499
",unclear,"The abstract mentions 'carbon neutralization policy' and 'carbon neutralization vision' as a scenario framework, but does not actually model or assess a climate-neutral pathway itself; it focuses on water quality and land-use changes.",yes,,yes,,yes,
"10.1016/j.energy.2024.134075
",yes,,yes,,yes,,yes,
"10.1016/j.envint.2024.109124
",yes,,yes,,yes,,yes,
"10.1016/j.energy.2023.127543
",no,,yes,,yes,,yes,
"10.1117/12.3073625
",yes,,yes,,yes,,yes,
"10.1117/12.3005148
",yes,,yes,,yes,,yes,
"10.4028/p-lKc7On
",no,,yes,,yes,,yes,
"10.1016/j.oneear.2025.101520
",yes,,yes,,yes,,yes,
"10.3390/land12061266
",no,,yes,,yes,,yes,
"10.1109/CIEES62939.2024.10811224
",no,,yes,,yes,,yes,
"10.1016/j.techsoc.2025.103094
",no,,no,,yes,,no,
"10.1016/j.heliyon.2023.e19660
",no,,yes,,yes,,yes,
"10.3390/ijerph19159677
",unclear,"The abstract mentions 'carbon neutrality development solution' in relation to biogas, but does not actually model or assess a climate-neutral pathway; it focuses on willingness to adopt.",yes,,yes,,no,
"10.2478/rtuect-2025-0043
",unclear,"The study mentions a goal to achieve climate neutrality by 2050 for the company, but the results show that no single scenario or combination fully achieves this; further optimization is needed, so it is unclear whether a climate-neutral pathway is actually demonstrated.",yes,,yes,,yes,
"10.1134/S1028335823070030
",yes,,yes,,yes,,yes,
"10.3390/en15093039
",no,,yes,,yes,,no,
"10.1016/j.biombioe.2025.108267
",no,,yes,,yes,,yes,
"10.1109/INDISCON66021.2025.11253552
",no,,no,,yes,,yes,
"10.1007/s10311-022-01435-8
",yes,,no,,yes,,no,
"10.1007/s10098-026-03416-9
",unclear,"The abstract mentions 'net zero requires sustainable carbon removal and rapid mitigation' and models carbon-negative technologies, but does not present a fully assessed climate-neutral pathway or system configuration—it focuses on comparing CDR technologies rather than modeling a net-zero system.",no,,yes,,yes,
"10.1016/j.apenergy.2023.121540
",no,,yes,,yes,,yes,
"10.1108/PRR-12-2021-0066
",no,,yes,,yes,,yes,
"10.1117/12.3040011
",no,,no,,yes,,yes,
"10.1080/1331677X.2023.2180412
",no,,yes,,yes,,yes,
"10.13227/j.hjkx.202401161
",no,,yes,,yes,,yes,
"10.1134/S0040601524010051
",unclear,"The abstract examines the possibility of achieving climate neutrality by 2060 for Russia, but concludes it is 'theoretically possible' only under optimistic conditions, and the most likely scenario still requires unprecedented CCS to achieve it—so it is ambiguous whether a fully climate-neutral pathway is actually modeled.",yes,,yes,,yes,
"10.1016/B978-0-443-36426-6.00025-3
",yes,,no,,yes,,unclear,"The abstract mentions modeling and some quantitative figures (e.g., biochar reducing CH4 by 39.5%, electricity consumption changes), but it is unclear whether these are part of an original quantitative modeling exercise or a review/description of existing techniques."
"10.3390/land13081147
",yes,,unclear,"The abstract mentions regional analysis and territorial spatial planning but does not specify any particular country, city, or region by name.",yes,,yes,
"10.1080/10962247.2025.2587009
",no,,yes,,yes,,no,
"10.1088/1748-9326/ad78ea
",unclear,"The strategy aims to make Australia a 'significant global carbon sink' sequestering 4 Gt CO2e annually, which goes beyond climate neutrality, but it is unclear whether the strategy itself is fully modeled as a climate-neutral or net-zero pathway.",yes,,yes,,unclear,"The abstract mentions a pilot community and scalability with some figures (4 Gt CO2e, 25% landmass, 100,000 residents), but it is unclear whether formal quantitative modelling or scenario analysis was conducted."
"10.69650/rast.2024.258766
",yes,,yes,,yes,,yes,
"10.1016/j.jenvman.2025.124516
",unclear,"The abstract mentions 'carbon neutrality' as a goal to achieve, but the study focuses on policy instruments for mass timber adoption rather than modeling a fully climate-neutral pathway or system configuration.",yes,,yes,,yes,
"10.1016/j.energy.2024.133507
",yes,,no,,yes,,yes,
"10.1016/j.biombioe.2025.108334
",no,,yes,,yes,,yes,
"10.1016/j.apenergy.2022.119842
",no,,yes,,yes,,yes,
"10.1016/j.ecolmodel.2025.111266
",no,,yes,,yes,,yes,
"10.3390/en18061532
",yes,,yes,,yes,,yes,
"10.1016/j.petsci.2022.12.003
",no,,yes,,yes,,no,
"10.1016/j.scitotenv.2024.174874
",no,,yes,,yes,,yes,
"10.1016/j.eiar.2025.108143
",no,,yes,,yes,,no,
"10.3390/su151411306
",yes,,yes,,yes,,yes,
"10.1016/j.energy.2026.140115
",no,,yes,,yes,,yes,
"10.1109/ISBDAS64762.2025.11117018
",no,,yes,,yes,,no,
"10.1016/S0140-6736(23)02466-2
",unclear,"The abstract mentions 'net-zero greenhouse gas emissions by 2050' as a goal to support, but does not itself provide or assess a specific climate-neutral pathway or system configuration.",no,,yes,,unclear,"The abstract mentions collating modelling studies and evaluated implemented actions, but it is unclear whether the Commission itself conducts quantitative modelling to generate climate-neutral pathways."
"10.1038/s41598-025-21651-w
",no,,yes,,yes,,yes,
"10.1007/s11367-023-02190-w
",no,,no,,yes,,no,
"10.1109/EEM64765.2025.11050135
",yes,,yes,,yes,,yes,
"10.3390/land14040888
",no,,unclear,The study mentions five representative communities at 1-km2 coverage but does not specify which city or country these communities are located in.,yes,,yes,
"10.1007/s43762-024-00139-9
",no,,unclear,The abstract refers to 'a single case study' city in a developing country but does not name the specific city or country.,yes,,no,
"10.1080/15435075.2024.2414226
",no,,yes,,yes,,no,
"10.1016/j.rser.2024.114944
",unclear,The abstract discusses deep decarbonization and climate change mitigation but does not explicitly state the pathway achieves climate neutrality or net zero emissions.,yes,,yes,,yes,
"10.3390/f16091391
",no,,yes,,yes,,yes,
"10.1007/s10661-024-13311-9
",no,,yes,,yes,,yes,
"10.1016/j.renene.2025.122780
",no,,yes,,yes,,yes,
"10.1016/j.petsci.2023.01.013
",yes,,yes,,yes,,yes,
"10.1016/j.scitotenv.2022.156843
",no,,yes,,yes,,yes,
"10.1016/j.rser.2024.114865
",yes,,yes,,yes,,no,
"10.3390/f15081292
",no,,yes,,yes,,yes,
"10.1109/ICPET59380.2023.10367584
",no,,yes,,yes,,yes,
"10.3390/land14122442
",no,,yes,,yes,,yes,
"10.13225/j.cnki.jccs.2024.0844
",no,,yes,,yes,,yes,
"10.1038/s43016-025-01163-6
",no,,yes,,yes,,yes,
"10.3390/su142214750
",yes,,yes,,yes,,yes,
"10.1007/s13762-024-06124-3
",no,,yes,,yes,,yes,
"10.1016/j.jmse.2025.03.001
",yes,,yes,,yes,,yes,
"10.3390/engproc2025108041
",unclear,"The abstract mentions 'net-zero carbon emissions' as a goal enabled by the model, but does not provide a specific pathway or system configuration that is actually assessed or modeled for climate neutrality.",yes,,yes,,no,
"10.1016/j.esd.2025.101674
",no,,yes,,yes,,yes,
"10.1016/j.jastp.2025.106419
",no,,yes,,yes,,no,
"10.1021/acs.est.2c04784
",yes,,yes,,yes,,yes,
"10.1360/TB-2022-0612
",yes,,yes,,yes,,no,
"10.11654/jaes.2022-0477
",no,,yes,,yes,,yes,
"10.1109/ICSES63445.2024.10762990
",no,,no,,yes,,no,
"10.4271/2024-37-0018
",no,,no,,yes,,yes,
"10.1109/ICEAAI64185.2025.10957062
",no,,yes,,yes,,yes,
"10.1115/ES2024-132130
",yes,,yes,,yes,,yes,
"10.1016/j.resourpol.2023.104397
",yes,,yes,,yes,,yes,
"10.1080/09593330.2022.2075795
",yes,,yes,,yes,,yes,
"10.1007/978-3-031-82407-4_11
",no,,yes,,yes,,yes,
"10.16058/j.issn.1005-0930.2022.06.001
",yes,,yes,,yes,,yes,
"10.1016/j.gloenvcha.2022.102530
",unclear,"The abstract discusses carbon removal pathways toward ambitious temperature targets (post-Paris), but does not explicitly model or assess a climate-neutral configuration; it is based on qualitative expert interviews rather than a defined net-zero pathway.",no,,yes,,no,
"10.12133/j.smartag.SA202304008
",no,,yes,,yes,,no,
"10.1016/j.jclepro.2023.137840
",yes,,yes,,yes,,yes,
"10.1016/j.scitotenv.2023.163710
",no,,yes,,yes,,yes,
"10.1016/j.ecoinf.2024.102692
",yes,,yes,,yes,,yes,
"10.1021/acs.est.4c00082
",yes,,yes,,yes,,yes,
"10.5593/sgem2025/5.1/s20.073
",unclear,"The abstract mentions creating 'climate neutrality decision models' for Latvia and explores pathways, but it is unclear whether an actual climate-neutral pathway or system configuration is assessed/modeled or merely discussed as a framework.",yes,,yes,,unclear,"The abstract mentions bibliometric literature review and analysis of certification schemes, but it is unclear whether quantitative modelling or scenario processes are actually employed to generate climate-neutral pathways."
"10.1007/978-981-97-0372-2_57
",no,,yes,,yes,,no,
"10.1038/s41467-024-45314-y
",yes,,yes,,yes,,yes,
"10.1016/j.jenvman.2025.126617
",no,,yes,,yes,,yes,
"10.1016/j.energy.2025.134692
",yes,,yes,,yes,,yes,
"10.1016/j.enpol.2023.113470
",yes,,yes,,yes,,yes,
"10.1007/s10098-023-02656-3
",no,,yes,,yes,,yes,
"10.12153/j.issn.1674-991X.20230102
",no,,yes,,yes,,no,
"10.1016/j.jenvman.2023.119999
",yes,,yes,,yes,,yes,
"10.1016/j.jenvman.2026.128628
",no,,yes,,yes,,yes,
"10.52152/3973
",no,,yes,,yes,,yes,
"10.3390/f13050759
",unclear,The abstract mentions investments toward a 'carbon-neutral forest industry' but does not itself assess or model a climate-neutral pathway; it focuses on logistics optimization scenarios.,yes,,yes,,yes,
"10.1007/978-3-031-70322-5
",unclear,"The book covers Net Zero across multiple sectors, but the abstract describes it as a reference/overview work rather than providing or assessing a specific climate-neutral pathway or system configuration.",no,,yes,,no,
"10.1088/1748-9326/aca9e1
",yes,,yes,,yes,,yes,
"10.1073/pnas.2204098120
",yes,,yes,,yes,,yes,
"10.1016/j.envres.2026.123715
",no,,yes,,yes,,yes,
"10.1016/j.jenvman.2025.125619
",yes,,yes,,yes,,yes,
"10.2118/221630-MS
",yes,,yes,,yes,,yes,
"10.1109/ATIGB66719.2025.11142167
",unclear,"The paper proposes a strategic roadmap toward 2050 carbon neutrality, but it is unclear whether an actual climate-neutral pathway/configuration is modeled or if it remains a qualitative policy proposal.",yes,,yes,,unclear,"The paper includes historical GHG emission analysis and policy gap analysis, but it is unclear whether quantitative modeling or scenario analysis is used to generate future climate-neutral pathways."
"10.13227/j.hjkx.202406034
",no,,yes,,yes,,yes,
"10.1038/s41893-025-01556-2
",yes,,yes,,yes,,yes,
"10.13209/j.0479-8023.2025.060
",no,,yes,,yes,,yes,
"10.3390/en18071787
",yes,,yes,,yes,,yes,
"10.1007/s11027-024-10164-y
",yes,,yes,,yes,,yes,
"10.1080/14693062.2024.2438300
",yes,,yes,,yes,,yes,
"10.1016/B978-0-443-13985-7.00002-6
",no,,no,,yes,,no,
"10.1016/j.rser.2025.115744
",no,,yes,,yes,,no,
"10.1016/j.ijggc.2024.104164
",yes,,yes,,yes,,yes,
"10.1016/j.eneco.2024.107672
",yes,,yes,,yes,,yes,
"10.1016/j.eiar.2024.107431
",no,,yes,,yes,,yes,
"10.3969/j.issn.1674-8530.22.0121
",unclear,"The abstract discusses agricultural carbon neutrality and proposes measures toward it, but it is unclear whether an actual pathway or system configuration achieving carbon neutrality is modeled or assessed, or whether it remains at the level of qualitative recommendations.",yes,,yes,,no,
"10.1111/gcbb.12950
",no,,yes,,yes,,yes,
"10.1016/j.resenv.2025.100253
",no,,yes,,yes,,yes,
"10.1016/j.apenergy.2024.124686
",no,,yes,,yes,,yes,
"10.1007/s13399-025-06932-8
",no,,yes,,yes,,yes,
"10.13227/j.hjkx.202311098
",no,,yes,,yes,,yes,
"10.1016/j.rset.2023.100065
",no,,yes,,yes,,yes,
,no,,yes,,yes,,no,
"10.1021/acs.est.5c09918
",yes,,yes,,yes,,yes,
"10.13336/j.1003-6520.hve.20220852
",yes,,yes,,yes,,yes,
"10.1016/j.inpa.2022.10.004
",unclear,The abstract mentions 'carbon-neutral technology' as a development trend but does not actually assess or model a climate-neutral pathway or system configuration.,yes,,yes,,no,
"10.1016/j.jenvman.2024.120036
",yes,,yes,,yes,,yes,
"10.1016/j.agwat.2025.109756
",no,,yes,,yes,,yes,
"10.13733/j.jcam.issn.2095-5553.2025.08.038
",no,,yes,,yes,,yes,
"10.1007/s13762-025-06418-0
",no,,yes,,yes,,yes,
"10.1016/j.esr.2024.101366
",no,,yes,,yes,,yes,
"10.1007/s11081-022-09722-7
",unclear,"The abstract mentions optimizing toward carbon neutrality and a carbon-neutral forestry scenario, but it is unclear whether a fully climate-neutral pathway is actually assessed/modeled or merely referenced as a direction.",unclear,"The study mentions 'local districts' and the EU CO2 emission allowance market, but no specific country, city, or region is explicitly named.",yes,,yes,
"10.1186/s13021-024-00285-x
",no,,yes,,yes,,yes,
"10.1109/TGRS.2025.3647625
",no,,yes,,yes,,no,
"10.1109/IYCE60333.2024.10634934
",no,,yes,,yes,,yes,
"10.12006/j.issn.1673-1719.2024.310
",no,,yes,,yes,,no,
"10.3390/su152316317
",no,,unclear,"The abstract references national carbon neutrality goals and agricultural institutions, likely referring to China, but no specific country or region is explicitly named.",yes,,no,
"10.1016/j.enconman.2025.120759
",yes,,yes,,yes,,yes,
"10.31181/dmame8220251568
",yes,,yes,,yes,,yes,
"10.1016/j.cesys.2025.100359
",no,,yes,,yes,,yes,
"10.1515/9783111040066
",yes,,yes,,yes,,unclear,"The abstract describes a book with a roadmap and strategy analysis, but it is unclear whether quantitative modelling or scenario processes are included, as the description focuses on theoretical frameworks and qualitative strategy."
"10.3390/rs15205036
",no,,yes,,yes,,yes,
"10.1016/B978-0-443-36426-6.00019-8
",yes,,no,,yes,,yes,
"10.1088/1748-9326/acf58f
",no,,yes,,yes,,no,
"10.1007/s43979-023-00065-5
",no,,yes,,yes,,no,
"10.1016/j.jclepro.2024.140677
",no,,yes,,yes,,yes,
"10.1016/j.agwat.2025.110020
",no,,yes,,yes,,yes,
"10.1016/B978-0-443-22399-0.00005-0
",no,,no,,yes,,no,
"10.3997/2214-4609.202577045
",no,,yes,,yes,,no,
"10.1007/s10668-025-06289-y
",no,,yes,,yes,,no,
"10.3390/pr13124047
",no,,yes,,yes,,yes,
"10.1016/j.apenergy.2023.121115
",yes,,yes,,yes,,yes,
"10.1016/j.buildenv.2024.112501
",yes,,yes,,yes,,yes,
"10.1021/acsomega.4c00273
",yes,,no,,yes,,yes,
"10.56398/ajacieda.00371
",no,,yes,,yes,,no,
"10.1007/s11625-023-01388-z
",yes,,yes,,yes,,yes,
,yes,,yes,,yes,,yes,
"10.1007/978-981-97-5666-7_17
",no,,yes,,yes,,yes,
"10.3390/atmos16101173
",no,,yes,,yes,,yes,
"10.1021/acs.est.5c12746
",no,,yes,,yes,,no,
"10.1021/acs.est.5c08703
",yes,,no,,yes,,yes,
"10.1016/j.egyr.2025.01.018
",no,,yes,,yes,,yes,
"10.1016/j.agsy.2024.104168
",yes,,yes,,yes,,yes,
"10.1016/j.scitotenv.2023.169386
",yes,,yes,,yes,,yes,
"10.1016/j.enpol.2022.112873
",yes,,yes,,yes,,yes,
"10.1007/978-3-031-92221-3
",no,,no,,yes,,no,
"10.1134/S0040601524700605
",yes,,yes,,yes,,yes,
,yes,,yes,,yes,,yes,
"10.1016/j.resconrec.2024.107718
",no,,yes,,yes,,no,
"10.1016/j.resglo.2024.100226
",no,,yes,,yes,,no,
"10.1016/j.ecolind.2023.110986
",no,,yes,,yes,,yes,
"10.3390/en19041067
",no,,yes,,yes,,no,
"10.1016/j.resconrec.2024.108110
",unclear,"The abstract mentions China's carbon neutrality goals and emission reduction from PV by 2060, but does not explicitly model or assess a complete climate-neutral pathway; it focuses on NPP and ecosystem service impacts of PV construction.",yes,,yes,,yes,
"10.1016/j.scs.2025.106367
",yes,,yes,,yes,,yes,
"10.3389/fenvs.2024.1353107
",unclear,The study models financial efforts needed to achieve climate neutrality targets but does not itself provide a climate-neutral pathway or system configuration; it assesses contributions of water management to climate neutrality goals without demonstrating an actual climate-neutral outcome.,yes,,yes,,yes,
"10.3390/en16083473
",yes,,yes,,yes,,yes,
"10.1002/bbb.70106
",no,,no,,yes,,no,
"10.3390/en18215655
",yes,,yes,,yes,,yes,
"10.3390/en16217459
",yes,,yes,,yes,,yes,
"10.1007/978-3-031-69457-8_4
",no,,yes,,yes,,yes,
"10.1016/j.scitotenv.2022.160035
",no,,yes,,yes,,yes,
"10.1073/pnas.2317444121
",no,,yes,,no,,yes,
"10.3390/ijerph19105793
",yes,,yes,,yes,,yes,
"10.1016/j.esd.2024.101511
",no,,yes,,yes,,yes,
"10.1016/j.envres.2023.116881
",no,,yes,,yes,,yes,
,no,,yes,,unclear,"The abstract mentions industrial added value and energy consumption as factors, but does not clearly specify which sectors are directly targeted in the analysis.",yes,
"10.1088/1748-9326/adaed5
",no,,yes,,yes,,yes,
"10.48084/etasr.11816
",yes,,yes,,yes,,yes,
"10.1016/j.egycc.2025.100209
",yes,,yes,,yes,,yes,
"10.1016/j.apenergy.2025.125865
",no,,yes,,yes,,yes,
"10.1016/j.ijhydene.2025.151791
",yes,,yes,,yes,,yes,
"10.1038/s41893-025-01576-y
",yes,,yes,,yes,,yes,
"10.1080/17538947.2025.2544964
",no,,yes,,yes,,yes,
"10.3390/en17194842
",yes,,yes,,yes,,yes,
"10.1016/j.envsoft.2025.106473
",no,,yes,,yes,,yes,
"10.1016/j.crsus.2024.100122
",unclear,"The abstract mentions 'net-zero targets' and models renewable energy pathways, but does not explicitly assess or confirm a climate-neutral system configuration for the UK.",yes,,yes,,yes,
"10.3390/su142113979
",no,,yes,,yes,,yes,
"10.1016/j.seta.2024.103954
",unclear,"The abstract mentions emissions reduction goals and a roadmap for sustainable energy, but does not clearly state that a climate-neutral or net-zero pathway is actually assessed or modeled.",yes,,yes,,unclear,"The abstract mentions predicting energy mix for 2035 and 2050 and policy scenarios, but does not clearly specify whether quantitative modelling is used or if it is primarily a qualitative comparative study."
"10.3389/fenvs.2022.972563
",no,,yes,,yes,,yes,
"10.1007/s40974-024-00324-w
",yes,,yes,,yes,,yes,
"10.1007/s10098-025-03127-7
",unclear,"The abstract targets deep decarbonization and CO2 emission targets for 2030 and 2040, but the 2050 carbon neutrality goal is mentioned as uncertain and the scenarios only model up to 2040 targets, not full carbon neutrality.",yes,,yes,,yes,
"10.1007/978-981-95-1595-0_101
",no,,yes,,yes,,yes,
"10.1115/GT2025-151612
",no,,no,,yes,,no,
"10.13227/j.hjkx.202501263
",no,,yes,,yes,,yes,
"10.1016/j.eneco.2023.106916
",no,,yes,,yes,,yes,
"10.1016/j.agsy.2024.103852
",yes,,yes,,yes,,yes,
"10.3390/en18174674
",no,,yes,,yes,,yes,
"10.1016/j.resconrec.2023.107179
",no,,yes,,yes,,yes,
"10.3389/fenvs.2024.1379046
",yes,,yes,,yes,,yes,
"10.1038/s43016-023-00694-0
",yes,,yes,,yes,,yes,
"10.3390/en17184680
",no,,yes,,yes,,no,
"10.52202/083081-0045
",unclear,"The abstract mentions South Korea must cut methane emissions by 40% to reach carbon neutrality by 2050, but the paper itself focuses on satellite monitoring technology rather than modeling or assessing a climate-neutral pathway.",yes,,yes,,no,
"10.1016/j.energy.2024.131363
",unclear,"The abstract mentions Taiwan's net zero emissions goal by 2050 and reducing net carbon emissions, but does not explicitly model or assess a fully climate-neutral pathway; it focuses on solar capacity targets and agrivoltaics optimization.",yes,,yes,,yes,
"10.1016/j.seta.2024.103665
",no,,no,,yes,,yes,
"10.3390/f17010060
",no,,yes,,yes,,yes,
"10.1016/j.apenergy.2024.124443
",no,,yes,,yes,,yes,
"10.1016/j.jenvman.2025.127347
",yes,,yes,,yes,,yes,
"10.1016/j.energy.2025.138288
",no,,yes,,yes,,yes,
"10.3390/f15111943
",no,,yes,,yes,,yes,
"10.1016/j.jenvman.2024.122080
",yes,,yes,,yes,,yes,
"10.1038/s41467-024-49502-8
",yes,,no,,yes,,yes,
,unclear,"The abstract mentions 'Net Zero Carbon target ambitions' but only as a challenge to consider, not as an assessed or modeled pathway that is actually climate-neutral.",yes,,yes,,no,
"10.1016/j.esr.2023.101261
",yes,,yes,,yes,,yes,
"10.1007/978-3-032-18708-6_64
",no,,yes,,yes,,yes,
"10.5846/stxb202205041230
",no,,no,,yes,,no,
"10.15244/pjoes/190782
",yes,,yes,,yes,,yes,
"10.1088/2515-7620/adfc30
",yes,,yes,,yes,,yes,
"10.26599/PBM.2023.9260027
",unclear,"The study proposes measures for carbon neutrality but acknowledges residual emissions of 72-93 million tons in 2060, suggesting full carbon neutrality is not modeled/achieved but rather outlined as a future goal requiring additional measures.",yes,,yes,,yes,
"10.1016/j.grets.2026.100350
",yes,,yes,,yes,,no,
"10.1016/j.egycc.2024.100150
",yes,,yes,,yes,,yes,
"10.1016/j.jclepro.2025.146754
",no,,yes,,yes,,yes,
"10.1016/j.procir.2025.01.094
",unclear,"The abstract mentions net zero emissions by 2060 and pathways toward NDC targets, but it is unclear whether the study actually models or assesses a fully climate-neutral configuration or merely estimates biomass potential as a contribution toward that goal.",yes,,yes,,yes,
"10.1016/j.eiar.2025.108203
",yes,,yes,,yes,,yes,
"10.1016/j.jenvman.2023.118304
",no,,yes,,yes,,yes,
"10.1016/j.rser.2024.114945
",yes,,yes,,yes,,yes,
"10.1145/3768184.3768233
",unclear,The paper uses RF to determine 'carbon neutrality confidence' but does not clearly model or assess an actual climate-neutral pathway or system configuration.,yes,,yes,,yes,
"10.1057/s41599-025-05145-8
",unclear,"The study develops a framework for analyzing tourism-carbon neutrality interactions and simulates emissions trajectories, but it is not clearly stated whether a climate-neutral pathway or configuration is actually achieved or modeled as an outcome.",yes,,yes,,yes,
"10.1162/asep_a_00869
",yes,,yes,,yes,,yes,
"10.1021/acs.est.2c02884
",no,,yes,,yes,,yes,
"10.1007/s00502-024-01235-8
",yes,,yes,,yes,,yes,
,no,,yes,,yes,,yes,
"10.11975/j.issn.1002-6819.202304170
",no,,yes,,yes,,yes,
"10.1007/s10311-022-01544-4
",no,,yes,,yes,,no,
"10.1007/978-981-97-5098-6_108
",unclear,The study assesses risks in supply chains under carbon neutrality goals but does not itself model or provide a climate-neutral pathway or system configuration.,yes,,yes,,yes,
"10.1080/14693062.2026.2624246
",yes,,yes,,yes,,yes,
"10.25283/2223-4594-2025-3-95-102
",yes,,yes,,yes,,yes,
"10.1080/17538947.2026.2639803
",no,,yes,,yes,,yes,
"10.1109/CEEPE64987.2025.11034183
",no,,unclear,The abstract mentions 'typical national data' and 'differences in coupling patterns between countries' but does not specify which countries or regions are targeted.,yes,,yes,
"10.1371/journal.pone.0299730
",no,,yes,,yes,,yes,
"10.3390/urbansci9090374
",no,,yes,,yes,,yes,
"10.1371/journal.pone.0303582
",no,,yes,,yes,,yes,
"10.3390/su17083635
",no,,yes,,yes,,yes,
"10.1016/j.resconrec.2025.108671
",no,,no,,yes,,yes,
"10.1016/j.ese.2025.100571
",yes,,yes,,yes,,yes,
"10.1109/APACE62360.2024.10877397
",yes,,yes,,yes,,yes,
