Article ID;Title;Author;Secondary authors;Keywords;title of unpublished reference;primary date;publication year;notes;reprint status;start page number;ending page number;periodical full name;periodical standard abbreviation;periodical in which article was published;periodical name - user abbreviation 1;periodical name - user abbreviation 2;volume number;issue number;title secondary;city of publication;publisher;user definable 1;user definable 5;title series;Abstract;ISSN/ISBN;availability;Misc. 1;Misc. 2;address;Web/URL;link to PDF;link to full-text;related records;images;DOI;rated unclear;"Comment: Explicitly assesses&nbsp; climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; region ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; sector ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment:  Modelling&nbsp; or&nbsp; scenario process&nbsp; are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;
134;"Thermal modelling of a passive style net-zero greenhouse in Alberta: The effect of ground parameters and the solar to air fraction
";"Imafidon, O.J.; Ting, D.S.-K.; Carriveau, R.";;"Carbon footprint; Crops; Cultivation; Greenhouse effect; Renewable energy resources; Solar heating; Agricultural greenhouse; Alberta; Conditioning systems; Crop production; Energy requirements; Extreme weather conditions; Ground parameters; Growing environments; Thermal conditioning; Thermal model; Greenhouses";;;2023;"Export Date: 01 April 2026; Cited By: 5; Correspondence Address: R. Carriveau; Civil and Environmental Engineering, Environmental Energy Institute, Turbulence and Energy Laboratory, University of Windsor, Windsor, N9B 3P4, Canada; email: rupp@uwindsor.ca; CODEN: JCROE
";;;;;;;;"J. Clean. Prod.
";416;;"Journal of Cleaner Production
";;"Elsevier Ltd
";;;;"Agricultural greenhouses can provide a suitable microclimate for crops to thrive under extreme weather conditions. The operations of these greenhouses are expensive due to the energy requirement of the active thermal conditioning systems required to maintain the growing environment for crop production. Engineering of these greenhouses to utilize clean renewable energy sources is critical and necessary to mitigate their carbon footprint, paving the way to a more sustainable agricultural industry. This paper presents numerical modelling of a net-zero passive solar greenhouse in Alberta, Canada with winter temperatures below freezing. The indoor microclimate of the greenhouse is modelled using the detailed radiation model of a transient simulation tool, TRNSYS. The paper investigates the effects of ground parameters and the solar-to-air fraction on the numerical results. The paper includes a cost comparison between crop production in the traditional and passive style greenhouse. © 2023
";"09596526 (ISSN)
";;;"Article
";"Turbulence and Energy Laboratory, University of Windsor, 401 Sunset Ave, Windsor, ON, Canada
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164215227&doi=10.1016%2Fj.jclepro.2023.137840&partnerID=40&md5=45f8a5a21914a9ea2b27385ad68a1255
";;;;;10.1016/j.jclepro.2023.137840;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;"Spatiotemporal evolution and influence mechanism of the carbon footprint of energy consumption at county level in the Yellow River Basin
";"Song, M.; Zhang, L.; Gao, Y.; Li, E.";;"Carbon neutrality; County carbon footprint; Evolutionary path; Light-carbon conversion; Panel quantile regression; Remote-sensing data; China; Yellow River Basin; Carbon footprint; Digital storage; Ecosystems; Energy utilization; Land use; Remote sensing; Watersheds; carbon; Carbon conversions; Carbon neutralities; County carbon footprint; Evolutionary path; High carbons; Influence mechanism; Light-carbon conversion; Panel quantile regression; Quantile regression; Remote sensing data; carbon footprint; emission control; energy use; policy implementation; regression analysis; remote sensing; temporal evolution; Article; biotransformation; carbon balance; carbon emission; carbon footprint; controlled study; data processing; ecosystem; energy consumption; human; human impact (environment); land use; process optimization; remote sensing; river basin; social status; spatiotemporal analysis; trend study; Emission control";;;2023;"Export Date: 01 April 2026; Cited By: 37; Correspondence Address: L. Zhang; School of Management, China University of Mining and Technology-Beijing, Beijing, 100083, China; email: sheila0117@163.com; CODEN: STEVA
";;;;;;;;"Sci. Total Environ.
";883;;"Science of the Total Environment
";;"Elsevier B.V.
";;;;"Implementing emission reduction policies at county level is important to realize high-quality development in the Yellow River Basin and achieve national “carbon peaking” and “carbon neutrality” goals. Based on remote-sensing data of night light, net primary productivity, and land use, the present study utilized the light‑carbon conversion and carbon footprint measurement models to quantify the carbon footprint of energy consumption. An exploratory spatiotemporal data analysis method was implemented to analyze the spatiotemporal evolution path. Panel quantile regression and spatiotemporal transition-nested models were used to reveal the influence mechanism of the spatiotemporal evolution of the carbon footprint. The following results were obtained. (1) The carbon footprint of counties increased from 2001 to 2020. Counties with high‑carbon footprint diffused around the “one center and two axes”. Carbon-deficit counties exhibited a diffused trend towards the west. In 2020, 506 counties exhibited carbon deficits, and the carbon balance of the ecosystem was severely unbalanced. (2) The carbon footprint showed evident path dependence and Matthew effect. The high‑carbon footprint lock-in area comprising 177 counties is a challenging zone for governance. The 86 counties that exhibit carbon footprint changes are the key zones to drive the carbon footprint changes in the Basin. The change direction of the county's carbon footprint type, with evident spatial correlation characteristics, is in accordance with adjacent counties. (3) The carbon footprint spatiotemporal transition types and influence mechanisms in counties exhibited significant differences, with the coexistence of low-carbon footprint driving, low-carbon footprint restriction, high-carbon footprint driving and high-carbon footprint restriction modes. As the influence mechanisms of different modes and the paths to achieve “dual carbon” goals are different, the governance of different modes should focus on optimizing and strengthening restriction factors or controlling and improving of driving factors. © 2023 Elsevier B.V.
";"00489697 (ISSN)
";;;"Article
";"Institute of Information Photonics and Optical Communication, Beijing University of Posts and Telecommunications, Beijing, 100876, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153674895&doi=10.1016%2Fj.scitotenv.2023.163710&partnerID=40&md5=ffe1dd87fe9d75fe1f184445a8977701
";;;;;10.1016/j.scitotenv.2023.163710;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;"Decoupling state of urban development and carbon emissions and its driving factors and predictions: A case study of Chengdu metropolitan area
";"Xu, M.; Yang, X.; Deng, L.; Liao, X.; Niu, Z.; Hao, L.";;"Carbon peaking and carbon neutrality goals; Decoupling status; Multi-scenario forecast; Nighttime lighting data; Urban development; Chengdu; China; Sichuan; carbon emission; emission control; environmental factor; lightning; metropolitan area; prediction; urban development";;;2024;"Export Date: 01 April 2026; Cited By: 17; Correspondence Address: X. Yang; College of Geography and Planning, Chengdu University of Technology, Chengdu, 610059, China; email: yangxin2012@cdut.edu.cn
";;;;;;;;"Ecol. Informatics
";82;;"Ecological Informatics
";;"Elsevier B.V.
";;;;"Prioritizing the reduction of carbon emissions in key developing urban centers is a significant step toward achieving China's carbon peaking and neutrality goals. We examined the Chengdu metropolitan area as a case study. We proposed a coupled method for inversely estimating nighttime light and carbon emissions from energy consumption, enhancing the accuracy of fitting at the county scale and addressing the issue of missing energy consumption data. We integrated the Tapio decoupling model and the Logarithmic Mean Divisia Index (LMDI) model for comprehensive analysis, mitigating the limitations arising from the use of a singular model. Furthermore, we employed a multi-scenario analysis with an extended STIRPAT model to forecast the carbon emission trajectory of the Chengdu urban agglomeration and elucidate potential pathways for achieving carbon peaking and carbon neutrality goals. The findings indicated the following: (1) carbon emissions are predominantly concentrated in regions characterized by high levels of urban development. Forested land serves as the primary carbon sink; however, its capacity in the Chengdu metropolitan area fails to offset carbon emissions from energy consumption; (2) factor decomposition analysis revealed that economic development was the principal driver of carbon emissions, leading to an increase of 23.7964 million tons. Conversely, energy intensity emerged as the primary mitigation factor, reducing carbon emissions by 11.0677 million tons; (3) The Chengdu metropolitan area is projected to reach a carbon peak by 2030, with the multi-factor coordinated optimization (MFO) model representing the most favorable trajectory, with a projected peak of approximately 15.6998 million tons. However, to achieve carbon neutrality by 2060, there is still a surplus of approximately 10.4808 million tons. © 2024 The Authors
";"15749541 (ISSN)
";;;"Article
";"College of Earth and Planetary Sciences, Chengdu University of Technology, Chengdu, 610059, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196943382&doi=10.1016%2Fj.ecoinf.2024.102692&partnerID=40&md5=13c9d0561130c73a8a7904d05bbc31aa
";;;;;10.1016/j.ecoinf.2024.102692;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;"Transitioning Toward a Zero-Emission Electricity Sector in a Net-Zero Pathway for Africa Delivers Contrasting Energy, Economic and Sustainability Synergies Across the Region
";"Adun, H.; Ampah, J.D.; Dagbasi, M.";;"Africa; climate actions; ationally determined contributions; et zero emissions; sectoral decarbonization; stranded asset; zero emissions electricity; Africa; Carbon Dioxide; Electricity; Greenhouse Effect; Greenhouse Gases; North Africa; Carbon capture and utilization; Greenhouse gas emissions; coal; fossil fuel; atural gas; oil; carbon dioxide; Africa; Climate action; Decarbonisation; Nationally determined contribution; Net zero emission; Sectoral decarbonization; Stranded asset; Zero emission; Zero emission electricity; carbon dioxide; carbon sequestration; climate conditions; electricity industry; fossil fuel; global climate; greenhouse gas; land use; trade-off; afforestation; Africa; Article; bioenergy with carbon capture and storage; biomass; building; carbon neutrality; contact electrification; electricity; energy conservation; energy consumption; environmental economics; environmental sustainability; geothermal energy; greenhouse gas emission; hydropower; infrastructure; land use; egative emission technology; North Africa; uclear energy; reforestation; renewable energy; sensitivity analysis; solar radiation; traffic and transport; wind; greenhouse effect; greenhouse gas; Low emission";;;2024;"Export Date: 01 April 2026; Cited By: 3; Correspondence Address: H. Adun; Operational Research Centre in Healthcare, Near East University, Nicosia, TRNC Mersin 10, 99138, Turkey; email: humphreyadun@gmail.com; CODEN: ESTHA
";;15522;15538;;;;;"Environ. Sci. Technol.
";58;35;"Environmental Science and Technology
";;"American Chemical Society
";;;;"Although Africa contributes less than 5% to global greenhouse gas (GHG) emissions, its role in global climate action is pivotal. To date, 53 African countries have submitted their Nationally Determined Contributions (NDCs), and four have committed to a net-zero target. However, many of Africa’s NDCs are vaguely expressed and without specific focus on explicit sectoral decarbonization targets. Furthermore, Africa’s huge land-based carbon dioxide removal (CDR) potential remains unclear in the context of enabling net-zero (NZ) emissions within the continent. This study achieves two objectives: Under a NZ GHG emission trajectory in Africa, we uncover the implications of a targeted zero-emission electricity sector by 2030, on the energy landscape and other sustainability factors. This study also features the role of land-based biological removal methods─bioenergy carbon capture and storage (BECCS) and afforestation/reforestation (A/R)─in net zero actualization in Africa. Our results reveal a unified but disparate actualisation of the mid-century net zero emission goal across the continent, as all regions except North Africa achieve carbon neutrality. The industrial sector faces significant difficulties in transitioning and contributes substantially to positive emissions on the continent, with its share of total residual emissions reaching 49-64% by 2050. This difficulty persists even with targeted sectoral decarbonization of the electricity sector, although it is significantly reduced by the availability of BECCS as a CDR option. Under the zero-emission electricity pathway, emissions in buildings and transport sectors are reduced due to rapid electrification. A trade-off emerges in the net zero pathway concerning land allocation for negative emissions versus other land use activities. A key result shows that achieving a net zero target in Africa leads to a cumulative loss of $102 billion in fossil fuel infrastructure within the electricity sector by mid-century, which doubles when the zero-emission electricity goal is achieved. © 2024 American Chemical Society.
";"0013936X (ISSN)
";;;"Article
";"Department of Mechanical Engineering, Cyprus International University, TRNC Mersin 10, Nicosia, 99138, Turkey
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201876208&doi=10.1021%2Facs.est.4c00082&partnerID=40&md5=14405f48ef474f0a239e0f0fc28d40b9
";;;;;10.1021/acs.est.4c00082;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;"A Study on Regional Carbon Emissions Accounting and Influencing Factors of Minority Region in Chongqing, China
";"Hao, Y.; Guo, X.; Xu, D.";"Wen F.; Zhu J.";"Carbon emissions; Ethnic minority areas; Influencing factors; Land use change; Carbon; Forestry; Industrial economics; Industrial emissions; Population statistics; Renewable energy; Carbon emissions; Carbon neutralities; Chongqing; Construction land; Ethnic minorities; Ethnic minority area; Influencing factor; Landuse change; Low carbon economy; Minority regions; Land use";;;2024;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: X. Guo; Research Center of Sustainable Development in Three Gorges Reservoir Area, Chongqing Three Gorges University, Chongqing, China; email: guoxianhua@sanxiau.edu.cn; Conference name: 2nd International Conference on Frontiers of Energy and Environmental Engineering, CFEEE 2023; Conference date: 1 September 2023 through 3 September 2023; Conference code: 314499
";;709;722;;;;;"Environ. Sci. Eng. 
";10;;"Environmental Science and Engineering
";;"Springer Science and Business Media Deutschland GmbH
";;;;"The low-carbon economy development in minority regions is important in achieving carbon peaking and carbon neutrality in China. Taking the Minority Region of Chongqing (MRC) as an example, this paper analyzes the spatial and temporal evolution characteristics of carbon emissions in this region based on land use change data and economic statistics in 2010, 2015, and 2020, and analyzes influencing factors using the single factor decomposition method. The results show that the area of construction land in this region is increasing yearly, the grassland area is decreasing significantly, and both arable land and forest land are reducing first and then growing. From the overall carbon emission structure, the carbon emission in the region shows a slightly decreasing trend, among which industrial and other construction land emissions are the largest, followed by livestock emissions. However, the structure and changes of carbon emissions from land use in different county units vary. Industrial carbon emissions in 2020 show the spatial distribution characteristics of high in the north and low in the middle, with the highest industrial carbon emissions in Shizhu County, emitting 465,200 t, accounting for 32.4% of the total industrial carbon emissions, while livestock carbon emissions are high in the northeast and low in the southwest, with the largest livestock emissions in Qianjiang District, emitting 338,073.7 t, accounting for 32.4% of the overall livestock emissions are high in the southwest and low in the northeast, and Pengshui County has the most agricultural emissions, emitting 80,910.45 t, accounting for 24.1% of agricultural carbon emissions. The intensity of various influencing factors differs in different districts and counties. In terms of influencing factors, population size, and primary industry GDP have a suppressive effect on per capita carbon emissions, whereas the urbanization rate has a catalytic effect. The study results have significant reference value for studying the low-carbon development model of minority regions in China. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.
";"18635520 (ISSN); 978-981970371-5 (ISBN)
";;;"Conference paper
";"Research Center of Sustainable Development in Three Gorges Reservoir Area, Chongqing Three Gorges University, Chongqing, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199152540&doi=10.1007%2F978-981-97-0372-2_57&partnerID=40&md5=a95c534c4b3750a36539a943c91f2349
";;;;;10.1007/978-981-97-0372-2_57;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;"Exploring negative emission potential of biochar to achieve carbon neutrality goal in China
";"Deng, X.; Teng, F.; Chen, M.; Du, Z.; Wang, B.; Li, R.; Wang, P.";;"Carbon; Carbon Dioxide; Carbon Sequestration; Charcoal; China; Goals; Soil; China; charcoal; carbon; carbon dioxide; carbon sequestration; global warming; soil quality; spatiotemporal analysis; sustainable development; agricultural waste; Article; biomass; carbon neutrality; China; controlled study; economics; energy consumption; energy crop; forestry; grass; egative emission technology; spatial analysis; carbon sequestration; China; motivation; soil";;;2024;"Export Date: 01 April 2026; Cited By: 122; Correspondence Address: F. Teng; Institute of Energy, Environment and Economy, Tsinghua University, Beijing, 100084, China; email: tengfei@tsinghua.edu.cn
";;;;;;;;"Nat. Commun.
";15;1;"Nature Communications 
";;"Nature Research
";;;;"Limiting global warming to within 1.5 °C might require large-scale deployment of premature negative emission technologies with potentially adverse effects on the key sustainable development goals. Biochar has been proposed as an established technology for carbon sequestration with co-benefits in terms of soil quality and crop yield. However, the considerable uncertainties that exist in the potential, cost, and deployment strategies of biochar systems at national level prevent its deployment in China. Here, we conduct a spatially explicit analysis to investigate the negative emission potential, economics, and priority deployment sites of biochar derived from multiple feedstocks in China. Results show that biochar has negative emission potential of up to 0.92 billion tons of CO2 per year with an average net cost of US$90 per ton of CO2 in a sustainable manner, which could satisfy the negative emission demands in most mitigation scenarios compatible with China’s target of carbon neutrality by 2060. © The Author(s) 2024.
";"20411723 (ISSN)
";;;"Article
";"Key Laboratory of Ecosystem Network Observation and Modelling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184430097&doi=10.1038%2Fs41467-024-45314-y&partnerID=40&md5=653f36d2f7f0ede28e86a03e80020875
";;;;;10.1038/s41467-024-45314-y;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;"Indirect economic benefits of energy consumption changes under China's carbon neutrality goal
";"Huang, C.; Guo, J.; Zhang, Z.; Li, N.; Zhu, A.; Liu, Y.; Chen, X.; Sun, B.";;"China's carbon neutrality goal; Energy consumption; Indirect economic benefits; Input-output model; Scenario analysis; China; Qinghai; Carbon capture and utilization; Carbon sequestration; Carbon neutralities; China carbon neutrality goal; Climate warming; Economic benefits; Emission reduction; Energy-consumption; Indirect economic benefit; Input-output modeling; Mitigation measures; Scenarios analysis; carbon; economic analysis; energy use; global warming; industrial linkage; eutralization; scenario analysis; Energy economics";;;2025;"Export Date: 01 April 2026; Cited By: 6; Correspondence Address: Z. Zhang; School of National Safety and Emergency Management, Beijing Normal University, Beijing, 100875, China; email: zhangzhengtao@bnu.edu.cn; CODEN: ENEYD
";;;;;;;;"Energy
";317;;"Energy
";;"Elsevier Ltd
";;;;"Mitigation measures aimed at achieving carbon neutrality can lead to significant economic benefits by reducing the negative impact of climate warming. But the economic benefits of energy-related emission reduction actions under China's carbon neutrality goal are still unclear. Our study establishes an Adaptive Multi-Regional Input-Output model considering industrial linkage effects from energy consumption perspective, simulates the indirect economic benefits (IEB) through scenario analysis with 2017 as the base year. The results show that: (1) In the trajectory towards China's carbon neutrality, energy consumption changes will engender IEB, and peaking around 2040 at approximately 5.5 % of the GDP2017. (2) IEB is higher in the relatively less developed northwest regions, in Qinghai and Xinjiang, it will account for 13.0 % and 15.7 % of provincial GDP2017 by 2030. (3) Sectoral sensitivity of IEB is evident, with energy sector is the most sensitive, contributing over 60 % on average, particularly in the northwest and southwest regions; and the higher sensitivity of agriculture and industry is predominantly found in the central region. Therefore, considering the economic impacts of inter-provincial and inter-sectoral industrial linkages is crucial for scientifically guiding region-specific emission reduction actions, which can effectively facilitate the maximization of regional economic benefits under the carbon neutrality goal. © 2025 The Authors
";"03605442 (ISSN)
";;;"Article
";"National Institute of Natural Hazards, Ministry of Emergency Management of China, Beijing, 100085, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216315707&doi=10.1016%2Fj.energy.2025.134692&partnerID=40&md5=5a7ea46931abe64d227e531e4129d974
";;;;;10.1016/j.energy.2025.134692;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;"Interactions between land and grid development in the transition to a decarbonized European power system
";"Guillot, V.; Siggini, G.; Assoumou, E.";;"Carbon neutrality; Energy system modeling; Land; Power system planning; TIMES; Europe; Carbon; Decarbonization; Electric power system planning; Electric power transmission; Fossil fuels; Investments; Land use; Carbon neutralities; Decarbonisation; Electricity system; Energy-system models; Land; Low carbon energies; Power; Power systems planning; TIMES; Variable renewable energies; alternative energy; development strategy; electricity generation; energy planning; fossil fuel; optimization; Electric power transmission networks";;;2023;"Export Date: 01 April 2026; Cited By: 6; Correspondence Address: V. Guillot; Mines Paris, PSL University, Centre for applied mathematics (CMA), Sophia Antipolis, 06904, France; email: victor.guillot@minesparis.psl.eu; CODEN: ENPYA
";;;;;;;;"Energy Policy
";175;;"Energy Policy
";;"Elsevier Ltd
";;;;"The decarbonization of the European electricity system by 2050 will involve replacing fossil fuels with low-carbon energies, in particular variable renewable energies, coupled with the development of the transmission network to ensure their integration at European scale. As these production modes have a lower energy density, their development will imply an increase in the amount of land dedicated to electricity production. This study investigates the links between an optimal decarbonization of the electricity system, land requirements, and the development strategy of interconnections. We study these interactions using eTIMES-EU, an energy system optimization model, by endogenously taking into account a land variable and testing two interconnection development plans. Our results show that it is possible to limit the land use of the network to its 2020 value for roughly a one percent higher total discounted cost, and that the development of interconnections changes the technologies to be installed on a European scale, but that it requires efficient and ambitious planning. Moreover, our results highlight disparities across countries in terms of space and investment that may constitute barriers to implementing this type of centralized development policy. © 2023 Elsevier Ltd
";"03014215 (ISSN)
";;;"Article
";"Mines Paris, PSL University, Centre for applied mathematics (CMA), Sophia Antipolis, 06904, France
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147696547&doi=10.1016%2Fj.enpol.2023.113470&partnerID=40&md5=9a4a3d959d2876405c977395ea920a14
";;;;;10.1016/j.enpol.2023.113470;No;;;;;;;;;;;;;;;;;;;;"i would say, ""decarbonization by 2050"" in Europe implies Net Zero";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;"Data-Driven Optimization of Forestry and Wood Procurement toward Carbon-Neutral Logistics of Forest Industry
";"Palander, T.; Vesa, L.";;"carbon neutrality; CO2; supply chain management; wood procurement; Carbon Dioxide; Commerce; Competition; Costs; Forestry; Finland; Carbon; Carbon dioxide; Commerce; Competition; Costs; Forestry; Investments; Multimodal transportation; Sustainable development; Timber; A-carbon; Carbon neutralities; Carbon neutrals; Data-driven optimization; Forest industry; Market situation; Northern Finland; Optimisations; Wood flow; Wood procurement; carbon dioxide; European Union; forestry; logistics; optimization; supply chain management; sustainability; timber industry; Supply chain management";;;2022;"Export Date: 01 April 2026; Cited By: 14; Correspondence Address: T. Palander; Faculty of Science and Forestry, University of Eastern Finland, Joensuu, P.O. Box 111, FI-80101, Finland; email: teijo.s.palander@uef.fi
";;;;;;;;"Forests
";13;5;"Forests
";;"MDPI
";;;;"Investments toward a carbon-neutral forest industry will change forestry and wood procurement in Northern Finland. The changing market situation requires data-driven DSSs for the strategic management of logistics. Using this software, logistics were described by a continuing wood flow model and optimized by a dynamic method. Three logistics scenarios described wood flows in the present and in the future. The optimization minimized the economic and environmental costs, which decreased by 4.9%. However, synchronized multimodal transportation costs increased by 23.3%. Therefore, maximum logistics efficiency necessitates increases in railway transport capac-ity. The change would also decrease CO2 emission costs. Under scenario-specific circumstances, logistics operations could be focused on four profitable regions, increasing market shares at munici-palities. To guarantee environmental sustainability of these municipalities, optimization of timber markets between forest owners and forest industry must be developed further by driving data from the EU’s emission allowance price compensation mechanism to the optimization process. Copyright: © 2022 by the authors. Licensee MDPI, Basel, Switzerland.
";"19994907 (ISSN)
";;;"Article
";"Faculty of Science and Forestry, University of Eastern Finland, P.O. Box 111, Joensuu, FI-80101, Finland
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130645394&doi=10.3390%2Ff13050759&partnerID=40&md5=414cd403363ad238b8728be762908452
";;;;;10.3390/f13050759;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;"Strategic uses for ancillary bioenergy in a carbon-neutral and fossil-free 2050 European energy system
";"Wu, F.; Muller, A.; Pfenninger, S.";;"carbon-neutrality; energy policy; renewable energy systems optimisation; sector-coupling; sustainable bioenergy; Europe; Agricultural wastes; Carbon capture; Crops; Economic and social effects; Land use; Plants (botany); A-carbon; Bio-energy; Carbon neutralities; Carbon neutrals; Energy system optimizations; Energy systems; Renewable energies; Renewable energy system optimization; Sector-coupling; Sustainable bioenergy; alternative energy; bioenergy; biomass; carbon sequestration; food production; Biomass";;;2023;"Export Date: 01 April 2026; Cited By: 20; Correspondence Address: F. Wu; Institute for Environmental Decisions, ETH Zürich, Zürich, Switzerland; email: fei.wu@usys.ethz.ch
";;;;;;;;"Environ.Res.Lett.
";18;1;"Environmental Research Letters
";;"Institute of Physics
";;;;"Biomass is a growing renewable energy source in Europe and is envisioned to play a role for realising carbon neutrality, predominantly using dedicated energy crops. However, dedicated biomass is controversial for reasons including its competition with food production or its land-use and emissions impacts. Here we examine the potential role of a land-free alternative: ancillary bioenergy (AB) from biomass sources not primarily grown for energy and without land/food/feed competition. We provide the first dataset of 2050 ancillary biomass potential using the agricultural system model SOLm, which encompasses untapped by-/co-products and detailed agricultural residues. Results show that there is a limited future potential for AB in Europe (2394-10 342 PJ, which is 3-6 times lower than other estimates including dedicated biomass). We design and investigate alternative scenarios where this bioenergy resource can be fully utilised, not utilised at all, or utilised optimally by the sector-coupled energy system model Euro-Calliope. We find that fully utilising ancillary biomass can help phase out controversial nuclear or land-intensive dedicated biomass, so might achieve higher societal acceptability. Using all ancillary biomass as a negative-emissions source at stationary bioenergy carbon capture and storage plants in a nuclear-free system provides additional climate benefits. It is also possible to leave the AB potential completely unused, which barely increases total system cost, but would preserve agricultural nutrients. We conclude that there are synergies and trade-offs among possible strategic uses of AB, which can provide guidelines for a more coherent European bioenergy strategy. Although the 2050 potential of AB is limited, our findings suggest that it could fill critical strategic niches for realising carbon-neutrality. © 2023 The Author(s). Published by IOP Publishing Ltd
";"17489318 (ISSN)
";;;"Article
";"Faculty of Technology, Policy and Management (TPM), Delft University of Technology, Delft, Netherlands
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146090893&doi=10.1088%2F1748-9326%2Faca9e1&partnerID=40&md5=a9fa75310cd2c2167e9ba36514eebd41
";;;;;10.1088/1748-9326/aca9e1;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;"Minimizing habitat conflicts in meeting net-zero energy targets in the western United States
";"Wu, G.C.; Jones, R.A.; Leslie, E.; Williams, J.H.; Pascale, A.; Brand, E.; Parker, S.S.; Cohen, B.S.; Fargione, J.E.; Souder, J.; Batres, M.; Gleason, M.G.; Schindel, M.H.; Stanley, C.K.";;"biodiversity; carbon neutrality; land use; renewables; siting; fossil fuel; Article; biomass; construction work and architectural phenomena; energy cost; environmental impact; environmental protection; environmental sustainability; habitat; land use; et zero energy building; renewable energy; United States";;;2023;"Export Date: 01 April 2026; Cited By: 28; Correspondence Address: G.C. Wu; Environmental Studies, University of California Santa Barbara, Santa Barbara, 93106, United States; email: gracecwu@ucsb.edu; CODEN: PNASA
";;;;;;;;"Proc. Natl. Acad. Sci. U. S. A.
";120;4;"Proceedings of the National Academy of Sciences of the United States of America
";;"National Academy of Sciences
";;;;"The scale and pace of energy infrastructure development required to achieve net-zero greenhouse gas (GHG) emissions are unprecedented, yet our understanding of how to minimize its potential impacts on land and ocean use and natural resources is inadequate. Using high-resolution energy and land-use modeling, we developed spatially explicit scenarios for reaching an economy-wide net-zero GHG target in the western United States by 2050. We found that among net-zero policy cases that vary the rate of transportation and building electrification and use of fossil fuels, nuclear generation, and biomass, the “High Electrification” case, which utilizes electricity generation the most efficiently, had the lowest total land and ocean area requirements (84,000 to 105,000 km2 vs. 88,100 to 158,000 km2 across all other cases). Different levels of land and ocean use protections were applied to determine their effect on siting, environmental and social impacts, and energy costs. Meeting the net-zero target with stronger land and ocean use protections did not significantly alter the share of different energy generation technologies and only increased system costs by 3%, but decreased additional interstate transmission capacity by 20%. Yet, failure to avoid development in areas with high conservation value is likely to result in substantial habitat loss. Copyright © 2023 the Author(s).
";"00278424 (ISSN)
";;;"Article
";"The Nature Conservancy, Portland, 97214, OR, United States
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146883127&doi=10.1073%2Fpnas.2204098120&partnerID=40&md5=7db01ef52c35b2b3e473458a5e6c304a
";;;;;10.1073/pnas.2204098120;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;assuming that economy-wide fits the criteria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
