Article ID;Title;Author;Secondary authors;Keywords;title of unpublished reference;primary date;publication year;notes;reprint status;start page number;ending page number;periodical full name;periodical standard abbreviation;periodical in which article was published;periodical name - user abbreviation 1;periodical name - user abbreviation 2;volume number;issue number;title secondary;city of publication;publisher;user definable 1;user definable 5;title series;Abstract;ISSN/ISBN;availability;Misc. 1;Misc. 2;address;Web/URL;link to PDF;link to full-text;related records;images;DOI;Overall comments;"Comment:         Does the study explicitly include at least one of the following sectors within its system boundary?&nbsp;     AGRICULTURE  ENERGY&nbsp;(this includes TRANSPORT, BUILDINGS, ELECTRICITY GENERATION)  INDUSTRY  LAND-USE  FORESTRY  WASTE  CROSS-SECTORAL   OTHER    If YES: &nbsp;leave a comment with all sectors that apply, separated by commas, using only the above labels     Use CROSS-SECTORAL if sectors are not modeled separately but as an integrated whole-economy system. This means, you either specify one/multiple sectors explicitly OR only CROSS-SECTORAL.  Use OTHER and add a brief note if sector falls outside the list.      If NO: &nbsp;leave comment blank.       (Population); ";;;;;;;;;;;;;;;;;;;;;;"Comment:         Does the study present at least one&nbsp;  quantitative scenario  &nbsp;or&nbsp;  pathway  &nbsp;toward climate neutrality, i.e., numerical projections of future states, not solely qualitative descriptions or historical analysis?&nbsp; Please only consider the content of the Results Section plus Figures and Tables.             If YES , please specify in comment&nbsp;all quantified dimensions that apply, separated by commas, using only these labels:     DEMAND  EMISSIONS  COSTS  PRICES  TECHNOLOGY-SHARES  LAND-USE REQUIREMENTS   OTHER      Brief definitions for non-specialists:  DEMAND: numerical projections of energy or resource consumption, such as energy demand by sector (e.g. TWh, PJ)  EMISSIONS: GHG emission or removal quantities (e.g. MtCO₂eq)  COSTS: abatement or system costs (e.g. billion €),&nbsp;, GDP (e.g. billion €)  PRICES: energy or carbon price projections (e.g. €/MWh, €/tCO₂)  TECHNOLOGY-SHARES: deployment levels or shares of specific power generation technologies (e.g. TWh of PV), heating technologies (e.g. GWh of heat pumps), negative emission technologies (e.g. MtCO₂ of direct Air Capture or MtCO₂ sequested by forests) and transportation fuels (land, ship, air transport) (e.g. TWh of biofuels)  LAND-USE REQUIREMENTS: area of land required (e.g. land-used for wind power in km2)   OTHER: please specify      If NO: &nbsp;leave comment blank.    (Outcome); ";;;;;;;;;;;;;;;;;;;;;
217;"Key areas and pathways for carbon emissions reduction in Beijing for the “Dual Carbon” targets
";"Huang, R.; Zhang, S.; Wang, P.";;"Beijing; Carbon emissions reduction; Carbon neutrality; Key areas; Pathway; Beijing [Beijing (ADS)]; Beijing [China]; China; Carbon; Energy efficiency; Beijing; Carbon emissions; Carbon emissions reductions; Carbon neutralities; Carbon targets; Emission peaks; Energy structures; Key area; Pathway; Policy scenario; absorption; carbon emission; carbon sink; emission control; energy efficiency; environmental policy; renewable resource; Emission control";;;2022;"Export Date: 01 April 2026; Cited By: 183; Correspondence Address: R. Huang; School of Electric and Electronic Engineering, North China Electric Power University, Beijing, Changping District, 102206, China; email: 120212101044@ncepu.edu.cn; CODEN: ENPYA
";;;;;;;;"Energy Policy
";164;;"Energy Policy
";;"Elsevier Ltd
";;;;"China pledges to have its carbon emissions peak before 2030 and achieve carbon neutrality before 2060 (“Dual Carbon” targets). Beijing, the capital of China, needs to take the lead in promoting carbon emissions reduction so as to provide an example for other cities. Based on the extended STIRPAT model and LEAP-Beijing model, this paper assesses the key areas and pathways for carbon emissions reduction in Beijing for the period of 2015–2060 under six different policy scenarios. The results show that energy structure upgrading and energy efficiency improvement are the key drivers for the city's emissions reduction. The realization of “Dual-Carbon” targets requires a low-carbon transition of all sectors, and the priority should first be put on the power, transportation and commercial sectors, followed by the thermal and industrial sectors, finally the residential and agricultural sectors. Considering that there exists a large number of carbon leakage, Beijing should start with the PES scenario, strive to achieve carbon peak by 2025, then accelerate the transition to the CES scenario between 2030 and 2035 depending on the ratio of renewable sources in its imported power, and finally achieve carbon neutrality via emissions absorption approaches such as CCUS and carbon sinks by 2060. © 2022 Elsevier Ltd
";"03014215 (ISSN)
";;;"Article
";"National Institute of Energy Development Strategy, North China Electric Power University, Changping District, Beijing, 102206, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126272990&doi=10.1016%2Fj.enpol.2022.112873&partnerID=40&md5=10f1e78da9a789ad03ffda7edeeaa7a6
";;;;;10.1016/j.enpol.2022.112873;;;;;;;;AGRICULTURE, ENERGY, INDUSTRY;;;;;;;;;;;;energy, industry, agriculture;;;;;;;;;;EMISSIONS;;;;;;;;;;;;emissions, demand, technology-shares;;;
226;"Scenario forecasting of carbon neutrality by combining the LEAP model and future land-use simulation: An empirical study of Shenzhen, China
";"Zhao, X.; Rao, Z.; Lin, J.; Zhang, X.";;"Carbon budgeting; Carbon emission forecasting; Energy demand; Land use; Low-carbon city; Scenario analysis; China; Guangdong; Shenzhen; Carbon cycle; Carbon sequestration; Low emission; Zero-carbon; Carbon budgeting; Carbon carbons; Carbon emission forecasting; Carbon emissions; Carbon neutralities; Carbon stocks; Empirical studies; Energy demands; Low-carbon cities; Scenarios analysis; carbon budget; carbon emission; computer simulation; forecasting method; land use change; scenario analysis; Carbon capture and utilization";;;2025;"Export Date: 01 April 2026; Cited By: 18; Correspondence Address: J. Lin; School of Geography and Remote Sensing, Guangzhou University, Guangzhou, 510006, China; email: ljy2012@gzhu.edu.cn
";;;;;;;;"Sustainable Cities Soc.
";125;;"Sustainable Cities and Society
";;"Elsevier Ltd
";;;;"Forecasting future carbon emissions and carbon stocks under the influence of land-use changes will offer guidance for achieving urban carbon neutrality. However, a gap exists in the systematic combination of carbon emission forecasting and carbon stock forecasting to simulate the carbon neutrality path. Therefore, we introduced a novel method for scenario forecasting of carbon neutrality, which can integrate dynamic future land-use and NPP data to forecast carbon stocks. CCUS technology was also considered. Shenzhen, a Chinese city with high carbon emissions, was chosen as our case study area. First, the LEAP model was employed for forecasting future carbon emissions. Subsequently, the PLUS method was utilized for forecasting land-use evolution. Then, the carbon stocks were estimated on the basis of land-use forecasting and NPP. Finally, we explored the potential of CCUS for realizing carbon neutrality under integrated carbon emission and land-use scenarios. The results indicate that Shenzhen's future carbon emissions exhibit a tendency of an initial increase, followed by a decline. Due to the increase in ecological land, vegetation carbon stocks may increase slightly in farmland protection and ecological security scenarios. With the support of CCUS technology, the four scenarios are expected to achieve carbon neutrality before 2050. The scenarios presented in this study align more closely with future development trajectories and actual conditions, making them more informative for policy-making. In summary, the proposed framework would facilitate a comprehensive understanding of the pathways to achieving carbon neutrality goals. © 2025 Elsevier Ltd
";"22106707 (ISSN)
";;;"Article
";"College of Geography and Remote Sensing Sciences, Xinjiang University, Urumqi, 830046, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002327415&doi=10.1016%2Fj.scs.2025.106367&partnerID=40&md5=df89a62f905b8545c5be3dcc47bed717
";;;;;10.1016/j.scs.2025.106367;CROSS-SECTORAL;;;;;;;AGRICULTURE, ENERGY, LAND-USE;;;;;;;;;;;;;;;;;;;;;;EMISSIONS, TECHNOLOGY-SHARES;;;;;;;;;;;;;;;
230;"Agent-Based Energy Market Modeling with Machine Learning and Econometric Forecasting for the Net-Zero Emissions Transition
";"Gokce, B.; Kayakutlu, G.";;"agent-based modeling; carbon emissions trading; econometric forecasting; electricity markets; energy markets; machine learning; Autonomous agents; Autoregressive moving average model; Carbon; Computational methods; Costs; Decision support systems; Electric industry; Emission control; Forecasting; Investments; Machine learning; Nuclear energy; Nuclear fuels; Nuclear power plants; Plant expansion; Statistical methods; Zero-carbon; Agent based; Agent-based model; Carbon emission trading; Econometric forecasting; Emissions Trading Scheme; Energy market modeling; Energy markets; Machine-learning; Market price; Zero emission; Learning systems; Power markets";;;2025;"Export Date: 01 April 2026; Cited By: 2; Correspondence Address: B. Gokce; Energy Science and Technology, Energy Institute, Istanbul Technical University, Istanbul, 34469, Turkey; email: bkgokce@gmail.com
";;;;;;;;"Energies
";18;21;"Energies
";;"Multidisciplinary Digital Publishing Institute (MDPI)
";;;;"The transition of Türkiye’s energy market toward net-zero emissions by 2053 requires modeling approaches capable of capturing complex interactions and long-term uncertainties. In this study, a long-term agent-based modeling (ABM) framework was developed, integrating econometric demand forecasting with a seasonal autoregressive integrated moving average (SARIMA) model and machine learning (ML)-based day-ahead market (DAM) price prediction. Of the ML models tested, CatBoost achieved the highest accuracy, outperforming XGBoost and Random Forest, and supported investment analysis through net present value (NPV) calculations. The framework represents major market actors—including generation units, investors, and the market operator—while also incorporating the impact of Türkiye’s first nuclear power plant (NPP) under construction and the potential introduction of a carbon emissions trading scheme (ETS). All model components were validated against historical data, confirming robust forecasting and market replication performance. Hourly simulations were conducted until 2053 under alternative policy and demand scenarios. The results show that renewable generation expands steadily, led by onshore wind and solar photovoltaic (PV), while nuclear capacity, ETS implementation, and demand assumptions significantly reshape prices, generation mix, and carbon emissions. The nuclear plant lowers market prices, whereas an ETS substantially raises them, with both policies contributing to emission reductions. These scenario results were connected to actionable policy recommendations, outlining how renewable expansion, ETS design, nuclear development, and energy efficiency measures can jointly support Türkiye’s 2053 net-zero target. The proposed framework provides an ex-ante decision-support framework for policymakers, investors, and market participants, with future extensions that can include other energy markets, storage integration, and enriched scenario design. © 2025 by the authors.
";"19961073 (ISSN)
";;;"Article
";"Energy Science and Technology, Energy Institute, Istanbul Technical University, Istanbul, 34469, Turkey
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021457069&doi=10.3390%2Fen18215655&partnerID=40&md5=58babc090a2338ee9be06566ca531d67
";;;;;10.3390/en18215655;ENERGY;;;;;;;ENERGY;;;;;;;;;;;;;;;;;;;;;;DEMAND, EMISSIONS, PRICES, TECHNOLOGY-SHARES;;;;;;;;;;;;;;;
231;"Kenya’s Low Carbon Futures: An Assessment Using the KCERT Model
";"Gachanja, J.; Muriithi, B.; Mwabonje, O.; Mugwe, A.; Olukuru, J.; Da Silva, I.P.; Mwangi, F.; Strapasson, A.; Sukpanit, P.";;"2050 calculator; decarbonization; GHG emissions; KCERT; et-zero emissions; system dynamics; Carbon; Decarbonization; Decision making; Economic and social effects; Gas emissions; Greenhouse gases; Land use; Reforestation; Waste management; 2050 calculator; Decarbonisation; GHG emission; GHGs emissions; KCERT; Low-carbon futures; Modelling tools; Net-zero emission; System Dynamics; Zero emission; Sensitivity analysis";;;2023;"Export Date: 01 April 2026; Cited By: 2; Correspondence Address: O. Mwabonje; Centre for Environmental Policy (CEP), Imperial College London, London, SW7 1NA, United Kingdom; email: o.mwabonje@imperial.ac.uk
";;;;;;;;"Energies
";16;21;"Energies
";;"Multidisciplinary Digital Publishing Institute (MDPI)
";;;;"KCERT 2050 is a modelling tool designed to assist in the identification and evaluation of synergies and trade-offs within sectoral decarbonization pathways for Kenya. KCERT 2050 is positioned as a user-friendly and dynamic tool that bridges complex energy systems and emissions models with integrated impact assessment tools, aimed at aiding decision making towards carbon neutrality in both public and private sectors. The tool considers greenhouse gas emissions from various economic sectors and is validated through a collaborative process involving experts from diverse backgrounds. This study uses KCERT 2050 to examine the prospects of achieving a net−zero emissions pathway by 2050. In the baseline scenario, a significant emission trajectory is observed, with the transport sector emerging as the largest contributor. Transitioning to the net−zero pathway reveals substantial reductions across key sectors, such as transport, industry, and land use, driven by strategies including electrification, waste reduction, and afforestation. The sensitivity analysis underscores the potential for emission mitigation through various levers, including land use optimization and the adoption of cleaner transportation modes. In conclusion, our findings emphasize the potential and feasibility of Kenya’s ambitious net−zero emissions target. To attain this goal, it is imperative to prioritize sustainable land use and innovative waste management strategies. © 2023 by the authors.
";"19961073 (ISSN)
";;;"Article
";"Centre for Sustainable Development, University of Brasilia, Asa Norte, DF, Brasilia, 70910-900, Brazil
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176364243&doi=10.3390%2Fen16217459&partnerID=40&md5=f07e0485e901d4bd45c83c5bdf0d4367
";;;;;10.3390/en16217459;CROSS-SECTORAL;;;;;;;ENERGY, INDUSTRY, LAND-USE, WASTE;;;;;;;;;;;;;;;;;;;;;;DEMAND, EMISSIONS, TECHNOLOGY-SHARES;;;;;;;;;;;;;;;
235;"Exploring Potential Ways to Reduce the Carbon Emission Gap in an Urban Metabolic System: A Network Perspective
";"Xia, L.; Wei, J.; Wang, R.; Chen, L.; Zhang, Y.; Yang, Z.";;"carbon neutral paths; center of gravity; etwork insight; urban carbon metabolism; Carbon; Carbon Sequestration; Industry; Physical Phenomena; Transportation; Beijing [Beijing (ADS)]; Beijing [China]; China; carbon; carbon; carbon emission; carbon sequestration; energy use; GIS; land use change; metabolism; etwork analysis; spatial variation; temporal variation; Article; carbon emission; carbon metabolism; carbon sequestration; carbon sink; China; cultivated land; energy consumption; gravity; industrial area; land use; etwork analysis; socioeconomics; spatial analysis; traffic and transport; urban area; carbon sequestration; industry; physical phenomena";;;2022;"Export Date: 01 April 2026; Cited By: 10; Correspondence Address: R. Wang; Guangdong Key Laboratory of Environmental Pollution and Health, School of Environment, Jinan University, Guangzhou, 511443, China; email: wangruwei@jnu.edu.cn
";;;;;;;;"Int. J. Environ. Res. Public Health
";19;10;"International Journal of Environmental Research and Public Health
";;"MDPI
";;;;"To meet the global need for carbon neutrality, we must first understand the role of urban carbon metabolism. In this study, we developed a land–energy–carbon framework to model the spatial and temporal variation of carbon flows in Beijing from 1990 to 2018. Based on the changes in carbon sequestration and energy consumption, we used ecological network analysis to identify the critical paths for achieving carbon neutrality during land-use changes, thereby revealing possible decarbonization pathways to achieve carbon neutrality. By using GIS software, changes in the center of gravity for carbon flows were visualized in each period, and future urban construction scenarios were explored based on land-use policy. We found that the direct carbon emission peaked in 2010, mostly due to a growing area of transportation and industrial land. Total integrated flows through the network decreased at an average annual rate of 3.8%, and the change from cultivated land to the socioeconomic sectors and the paths between each socioeconomic component accounted for 29.5 and 31.7% of the integrated flows during the study period. The socioeconomic sectors as key nodes in the network should focus both on their scale expansion and on using cleaner energy to reduce carbon emissions. The center of gravity gradually moved southward, indicating that the new emission centers should seek a greener mixture of land use. Reducing carbon emission will strongly relied on transforming Beijing’s energy consumption structure and increasing green areas to improve carbon sinks. Our results provide insights into carbon flow paths that must be modified by implementing land-use policies to reduce carbon emission and produce a more sustainable urban metabolism. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.
";"16617827 (ISSN)
";;;"Article
";"State Key Joint Laboratory of Environmental Simulation and Pollution Control, School of Environment, Beijing Normal University, Xinjiekouwai Street No. 19, Beijing, 100875, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129703691&doi=10.3390%2Fijerph19105793&partnerID=40&md5=c407d142f6fb8819d4871248446beb90
";;;;;10.3390/ijerph19105793;LAND-USE;;;;;;;ENERGY, LAND-USE;;;;;;;;;;;;;;;;;;;;;;EMISSIONS;;;;;;;;;;;;;;;
240;"A Scenario Assessment of Sustainable Electricity Strategies toward China's 2060 Carbon Neutrality Target
";"Luo, J.; Wattana, S.";;"electricity sector; LEAP model; sustainable transition; zero-carbon energy";;;2025;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: S. Wattana; Faculty of Engineering, Mahasarakham University, Mahasarakham, 44150, Thailand; email: supannika.w@msu.ac.th
";;24991;25001;;;;;"Eng. Technol. Appl. Sci. Res.
";15;4;"Engineering, Technology and Applied Science Research
";;"Dr D. Pylarinos
";;;;"This paper assesses the impacts of long-term electricity pathways to achieve China's carbon neutrality target for the period 2023-2060. For this purpose, three scenarios (BAU, CNCM, and CNIM) are developed to represent different levels of zero-carbon energy penetration. These scenarios are analyzed using the Low Emissions Analysis Platform (LEAP) model for the period 2023-2060 to assess their implications for China's electricity transition. The analyses revealed that a greater share of zero-carbon energy in electricity generation would bring various notable benefits, including greater diversification of the energy supply, reduced dependence on fossil fuel imports, decreased reliance on conventional energy sources, and cleaner electricity generation. Despite the considerable benefits, China's electricity transition would face several challenges, namely centralized infrastructure, land use conflicts, and workforce displacement risks. The Chinese government addresses these challenges through smart grid upgrades, energy storage investments, and market reforms to boost the private sector involvement in electricity generation. In addition, building on current policies, this paper proposes three complementary strategies to accelerate China's energy transition, including power grid modernization (digitalization and flexible infrastructure), land-use optimization (integrated spatial planning), and labor transition safeguards (reskilling programs, and regional economic diversification). A coordinated implementation of these strategies is critical for achieving a carbon-neutral energy system that balances technical feasibility and social equity. © by the authors.
";"22414487 (ISSN)
";;;"Article
";"Electrical and Computer Engineering Research Unit, Mahasarakham University, Mahasarakham, 44150, Thailand
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013113108&doi=10.48084%2Fetasr.11816&partnerID=40&md5=cd5bb0d2f92d9fc3e12dc840b1ac4cc8
";;;;;10.48084/etasr.11816;ENERGY;;;;;;;ENERGY;;;;;;;;;;;;;;;;;;;;;;EMISSIONS, TECHNOLOGY-SHARES;;;;;;;;;;;;;;;
241;"Bioenergy pathways within United States net-zero CO2 emissions scenarios in the Energy Modeling Forum 37 study
";"Sands, R.D.; Wachs, L.; Lamers, P.; Bahn, O.; Beach, R.H.; Binsted, M.; Blanford, G.; Cai, Y.; De La Chesnaye, F.; Edmonds, J.A.; Göke, L.; Harris, C.; Hoehne, C.; Kim, G.J.; Kyle, P.; McJeon, H.; Orvis, R.; Showalter, S.; Sinha, A.; Starke, E.; Vaillancourt, K.; Victor, N.; Volkmar, P.; Weyant, J.; Wood, F.";;"Bioenergy; Carbon dioxide removal; Climate change mitigation; Deep decarbonization; Model comparison";;;2025;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: R.D. Sands; Economic Research Service, U.S. Department of Agriculture, Washington, United States; email: Ron.Sands@usda.gov
";;;;;;;;"Energy Clim. Chang.
";6;;"Energy and Climate Change
";;"Elsevier Ltd
";;;;"The Energy Modeling Forum 37 study is organized around carbon dioxide (CO2) mitigation scenarios reaching net-zero CO2 emissions by 2050 in the United States. This paper summarizes the potential contribution of bioenergy use in the electric power, transportation, industrial, and buildings sectors toward meeting that target based on model results. Thirteen modeling teams reported bioenergy consumption in the Reference and Net Zero scenarios. Consumption of bioenergy increased over time in the Reference scenario, from an average across models of 3.2 exajoules (EJ) in 2020 to 3.8 EJ in 2050. Average bioenergy consumption in 2050 increased further to 7.3 EJ in the Net Zero scenario. All scenarios that reach net-zero emissions required some form of carbon dioxide removal to offset emissions that are difficult to reduce. Carbon dioxide removal using bioenergy with CO2 capture and storage (BECCS) varies widely across models, up to 1000 Mt CO2 in 2050. Some models rely instead on direct air carbon capture and storage (DACCS), up to 2200 Mt CO2, and others use a combination of BECCS and DACCS. Model results show a strong inverse relationship between the amounts of BECCS and DACCS deployed. All modeling teams assumed a carbon sink from land use, land use change, and forestry, further offsetting a portion of emissions from fossil fuels and industry that are expensive to eliminate. Bioenergy consumption in 2050 decreased by an average of 1.5 EJ across eight models in a Net Zero+ scenario relative to the Net Zero scenario, due in part to a lower equilibrium carbon price resulting from optimistic cost assumptions for all energy technologies. © 2025
";"26662787 (ISSN)
";;;"Article
";"Stanford University, Stanford, CA, United States
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011849695&doi=10.1016%2Fj.egycc.2025.100209&partnerID=40&md5=bce02d421e35ec96af7cfd6ffc38852e
";;;;;10.1016/j.egycc.2025.100209;AGRICULTURE, LAND-USE, ENERGY, CROSS-SECTORAL;;;;;;;ENERGY;;;;;;;;;;;;;;;;;;;;;;DEMAND, EMISSIONS;;;;;;;;;;;;;;;
243;"Optimal energy management of sustainable hydrogen-based forestry operations with grid and hydrogen network support
";Çiçek, A.;;"Grid support; Hydrogen certification market; Mobile hydrogen supply; Optimal energy management; Renewable energy integration; Sustainable forestry operations; Decarbonization; Economic analysis; Electric power system economics; Emission control; Energy conservation; Energy policy; Energy utilization; Forestry; Fossil fuels; Hydrogen economy; Sustainable development; Timber; Zero-carbon; Certification markets; Forestry operations; Grid supports; Hydrogen certification market; Hydrogen supply; Mobile hydrogen; Mobile hydrogen supply; Optimal energy; Optimal energy management; Renewable energy integrations; Sustainable forestry; Sustainable forestry operation; Commerce";;;2025;"Export Date: 01 April 2026; Cited By: 1; CODEN: IJHED
";;;;;;;;"Int J Hydrogen Energy
";181;;"International Journal of Hydrogen Energy
";;"Elsevier Ltd
";;;;"The decarbonization of forestry operations poses significant challenges due to the dependence on fossil-fueled equipment and the limited accessibility of energy infrastructure in remote regions. This study presents a mixed-integer linear programming (MILP)-based optimal energy management model for a zero-emission forestry ecosystem powered by renewable energy sources (RESs) and hydrogen technologies. The integrated system harnesses photovoltaic (PV) and wind power, supplemented by the power grid, to generate hydrogen, which is stored in a centralized stationary tank. A mobile hydrogen tank ensures off-grid delivery to remote forestry zones, enabling emission-free operations by supplying hydrogen to various types of forestry equipment, including log stackers, power saws, and planters. The system also connects both the power grid and hydrogen network, providing backup electricity and hydrogen support during emergency conditions, thereby enhancing operational resilience. Participation in the hydrogen certificate market is incorporated to promote economic sustainability and reward green energy use. The proposed model simultaneously minimizes total operational costs and maximizes energy resilience and grid support. The model's performance is evaluated through detailed case studies under various operating scenarios, with all test activities assumed to be conducted based on forestry operations in Kırklareli, Türkiye. The results demonstrate the system's capability to reduce greenhouse gas emissions, optimize resource allocation, and maintain reliable energy supply even in fully off-grid contexts. The best-performing case achieves a maximum economic gain of €4915. Fully off-grid systems achieve zero emissions but have limited energy output and economic performance, with a carbon emission reduction of 6.7 metric tons compared to fossil-based operations. Notably, the model demonstrated complete operational coverage for forestry machinery without reliance on fossil fuels, achieving 100 % carbon emission reduction and highlighting its viability as a decarbonized and resilient solution. These results confirm the robustness and applicability of the proposed approach, underscoring its potential to enable economically viable, zero-emission, and off-grid forestry operations. © 2025 Hydrogen Energy Publications LLC
";"03603199 (ISSN)
";;;"Article
";"Department of Electrical and Electronics Engineering, Faculty of Engineering, Trakya University, Edirne, 22030, Turkey
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017235235&doi=10.1016%2Fj.ijhydene.2025.151791&partnerID=40&md5=2f7af6127ab336a74ecd0bf90ab3cb69
";;;;;10.1016/j.ijhydene.2025.151791;FORESTRY;;;;;;;ENERGY, FORESTRY;;;;;;;;;;;;;;;;Disagree. It provides a quantified carbon neutrality pathway, albeit for a very specific sub-sector (forestry operations).;;;;;;"this study concentrates on a operational energy management system for forestry operations rather than pathways to climate neutrality
--
edit: although there is set-ups reaching the definition of climate neutrality (e.g. table 2 - case 11), it still feels like an operational setup rather than a time-dependent scenario. Unsure, therefore leaving for conflict managers";;;;;;;;;;;;;;;
244;"Negotiating risks to natural capital in net-zero transitions
";"Pascale, A.C.; Watson, J.E.M.; Davis, D.; Smart, S.; Brear, M.; Jones, R.; Greig, C.";;"Australia; Clean energy; Energy infrastructures; Industrial infrastructure; Infrastructure deployments; Land availability; Natural capital; Prior modeling; Renewables; Zero emission";;;2025;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: A.C. Pascale; Andlinger Center for Energy and the Environment, Princeton University, Princeton, United States; email: acpascale@gmail.com
";;619;628;;;;;"Nature Sustain.
";8;6;"Nature Sustainability
";;"Nature Research
";;;;"Global and national commitments on climate imply clean energy and industrial infrastructure deployment at a speed and scale that could have serious implications for natural capital and other important land uses. Prior modelling of a net-zero emissions solution for Australia sites new renewable infrastructure on 111,000 km2 of land (approximately 1.7 times the area of mainland Tasmania) by 2060. That solution uses a single, static and certain map of land availability, making it immediately vulnerable to competition with other national goals involving widespread land management. We have incorporated climate goals with consistent handling of Australian Indigenous estate and varying treatments for biodiversity and agriculture to demonstrate an approach to navigate the risks to achieving both the net-zero goal and sustainable use of natural capital in an uncertain land-use planning future. We have identified regions of Australia in which modelled renewable infrastructure is rendered infeasible or more costly when natural capital protection occurs without collaborative consideration of climate action. Our approach and methods are relevant globally and highlight the importance of proactively, collaboratively and regularly reconsidering the risks to the natural capital on which we not only plan our net-zero solutions but also rely on for the critical systems that sustain life and lifestyles. © The Author(s), under exclusive licence to Springer Nature Limited 2025.
";"23989629 (ISSN)
";;;"Article
";"Evolved Energy Research, San Francisco, CA, United States
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006784107&doi=10.1038%2Fs41893-025-01576-y&partnerID=40&md5=b68360c970a4b0c12a7f2995709fd5cd
";;;;;10.1038/s41893-025-01576-y;ENERGY, LAND-USE;;;;;;;ENERGY, LAND-USE;;;;;;;;;;;;;;;;;;;;;;COSTS, TECHNOLOGY-SHARES;;;;;;;;;;;;;;;
246;"Prediction of Energy Consumption and Carbon Dioxide Emissions in Gansu Province of China under the Background of “Double Carbon”
";"Duan, M.; Duan, Y.";;"carbon emissions; carbon peak and neutralization; energy consumption; fixed-base energy consumption elasticity coefficient; prediction; Carbon capture and utilization; Carbon cycle; Low emission; Zero-carbon; Carbon emissions; Carbon peak and neutralization; Carbon peaks; Elasticity coefficients; Energy-consumption; Fixed base; Fixed-base energy consumption elasticity coefficient; Gansu province; Neutralisation; Carbon sequestration";;;2024;"Export Date: 01 April 2026; Cited By: 2; Correspondence Address: Y. Duan; Gansu Provincial Key Laboratory of Petroleum Resources, Lanzhou Center for Oil and Gas Resource, Northwest Institute of Eco-Environment and Resources, Chinese Academy of Sciences, Lanzhou, 730000, China; email: duany@lzb.ac.cn
";;;;;;;;"Energies
";17;19;"Energies
";;"Multidisciplinary Digital Publishing Institute (MDPI)
";;;;"Gansu Province in China has the characteristics of an underdeveloped economy, low forest carbon sink, and rich non-fossil energy, making it a typical area for research to achieve the “double carbon” target. In this paper, the primary energy consumption and carbon emissions and their development trends in Gansu Province during the “double carbon” target period were predicted by the fixed-base energy consumption elasticity coefficient method, and the possibility of achieving the “double carbon” target in Gansu Province was explored. In the three hypothetical scenarios, it was estimated that the total primary energy consumption of Gansu Province will be 91.9–94.81 million tons of standard coal by 2030 and 99.35–110.76 million tons of standard coal by 2060. According to the predicted share of different energy consumption in Gansu Province, the CO2 emissions of Gansu Province in the three scenarios were calculated and predicted to be between 148.60 and 153.31 million tons in 2030 and 42.10 and 46.93 million tons in 2060. The study suggests that Gansu Province can reach the carbon peak before 2030 in the hypothetical scenarios. However, to achieve the goal of carbon neutrality by 2060, it was proposed that, in addition to increasing carbon sinks by afforestation, it is also necessary to increase the share of non-fossil energy. As long as the share is increased by 0.3% on the basis of 2030, the goal of carbon neutrality by 2060 in Gansu Province can be achieved. The results show that the increase in the share of non-fossil energy consumption is the most important way to achieve the goal of carbon neutrality in Gansu Province, and it also needs to be combined with the optimization of industrial structure and improvement of technological progress. Based on the research results, some countermeasures and suggestions are put forward to achieve the goal of carbon neutrality in Gansu Province. © 2024 by the authors.
";"19961073 (ISSN)
";;;"Article
";"Gansu Provincial Key Laboratory of Petroleum Resources, Lanzhou Center for Oil and Gas Resource, Northwest Institute of Eco-Environment and Resources, Chinese Academy of Sciences, Lanzhou, 730000, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206498505&doi=10.3390%2Fen17194842&partnerID=40&md5=2fe374849b617add0fb33f0cebdb3c35
";;;;;10.3390/en17194842;"OTHER (Consumption based); only applies a %-rate increase of non-fossil consumption to reach climate neutrality";;;;;;;;;;;;;;;;;ohter (consumption based) indicator;;;;;;;;;;;;;;;;;;;;;;emissions;;;;;
