#;Type;Reference;Primary title;Book title;Title unpublished reference;Notes;Keywords;Authors;Primary date;Publication year;Reprint status;Start page;End page;Periodical full name;Periodical standard abbreviation;Periodical in which article was published;Periodical name user abbreviation 1;Periodical name user abbreviation 2;Title secondary;Volume number;Issue number;City of publication;Publisher;User definable 1;User definable 5;Title series;abstract;ISSN/ISBN;Availability;Misc. 1;Misc. 2;Address;Web/URL;Link to PDF;Link to full-text;Related records;Images;doi
26;;;;"Impact of Biogenic Carbon Neutrality Assumption for Achieving a Net-Zero Emission Target: Insights from a Techno-Economic Analysis
";;"Export Date: 01 April 2026; Cited By: 17; Correspondence Address: H. Kouchaki-Penchah; Department of Construction Engineering, École de Technologie Supérieure, Montreal, 1100 Notre-Dame St. West, H3C 1K3, Canada; email: hamedkouchakip@gmail.com; CODEN: ESTHA
";"biogenic carbon; energy system decarbonization; Negative emissions technologies; terrestrial sequestration; TIMES model; Biomass; Carbon Dioxide; Carbon Sequestration; Forests; Fossil Fuels; Biomass; Budget control; Carbon capture; Carbon dioxide; Decarbonization; Decision making; Economic analysis; Fossil fuels; carbon; carbon dioxide; fossil fuel; Biased decision makings; Biogenic carbon; Biogenics; Decarbonisation; Emission technology; Energy system decarbonization; Energy systems; Negative emission technology; Terrestrial sequestration; TIMES model; bioenergy; biogenic emission; carbon budget; carbon dioxide; decision making; economic analysis; forest cover; forest management; fossil fuel; technical efficiency; Article; bioenergy with carbon capture and storage; carbon dioxide emission; carbon neutrality; decision making; energy yield; forest; forest management; greenhouse gas emission; renewable energy; biomass; carbon sequestration; forest; Forestry";"Kouchaki-Penchah, H.; Bahn, O.; Vaillancourt, K.; Moreau, L.; Thiffault, E.; Levasseur, A.";;2023;;10615;10628;;;;;"Environ. Sci. Technol.
";"Environmental Science and Technology
";57;29;;"American Chemical Society
";;;;"Global pathways limiting warming to 2 °C or below require deep carbon dioxide removal through a large-scale transformation of the land surface, an increase in forest cover, and the deployment of negative emission technologies (NETs). Government initiatives endorse bioenergy as an alternative, carbon-neutral energy source for fossil fuels. However, this carbon neutral assumption is increasingly being questioned, with several studies indicating that it may result in accounting errors and biased decision-making. To address this growing issue, we use a carbon budget model combined with an energy system model. We show that including forest sequestration in the energy system model alleviates the decarbonization effort. We discuss how a forest management strategy with a high sequestration capacity reduces the need for expensive negative emission technologies. This study indicates the necessity of establishing the most promising forest management strategy before investing in bioenergy with carbon capture and storage. Finally, we describe how a carbon neutrality assumption may lead to biased decision-making because it allows the model to use more biomass without being constrained by biogenic CO2 emissions. The risk of biased decision-making is higher for regions that have lower forest coverage, since available forest sequestration cannot sink biogenic emissions in the short term, and importing bioenergy could worsen the situation. © 2023 American Chemical Society.
";"0013936X (ISSN)
";;;"Article
";"Département des sciences du bois et de la forêt, Université Laval, Québec, G1V 0A6, Canada
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165714285&doi=10.1021%2Facs.est.3c00644&partnerID=40&md5=2c242b63c5fbfa0dbe6ca2a50cbeaee0
";;;;;"10.1021/acs.est.3c00644
"
27;;;;"Contributions of a mitigation measure portfolio to directing Chinese crop-livestock production system towards net-zero emissions
";;"Export Date: 01 April 2026; Cited By: 2; Correspondence Address: W. Yang; Changchun, C128 Tang Aoqing Bldg., 2699 Qianjin St., 130012, China; email: yangwea@jlu.edu.cn; J. Song; Changchun, C440 Tang Aoqing Bldg., 2699 Qianjin St., 130012, China; email: songjunnian@jlu.edu.cn
";"Bioenergy with carbon capture; Crop-livestock production system; GHG emissions; Hard-to-abate emissions; Mitigation measures; Carbon capture and utilization; Carbon sequestration; Direct air capture; Greenhouse gas emissions; Bio-energy; Bioenergy with carbon capture; Crop-livestock production system; Greenhouse gas emissions; Hard-to-abate emission; Livestock production; Manure management; Mitigation measures; Production system; Zero emission; Low emission";"Yang, W.; Zhang, W.; Xing, J.; Zheng, Y.; Yabar, H.; Song, J.";;2025;;112;127;;;;;"Sustain. Prod. Consum.
";"Sustainable Production and Consumption
";56;;;"Elsevier B.V.
";;;;"Agriculture contributes over 50% of greenhouse gas (GHG) emissions within the food system and plays a key role in reaching the climate target. How and to what extent agriculture can reduce GHG emissions, and whether it can achieve net-zero emissions, remain to be further uncovered. Applying a life cycle and scenario analysis approach with the functional units defined as unit crop cultivated area and one head of livestock, we assess the residual emissions of the integrated crop-livestock production system in China after implementing a portfolio of mitigation measures. The results show that the life cycle net GHG emissions in the integrated system is 1142.19 Million tons (Mt) of carbon dioxide equivalent (CO2-eq). In scenario 3, the combined measures targeting straw utilization achieve the greatest reduction of 270.42 Mt CO2-eq, followed by measures implemented for manure management at 206.30 Mt CO2-eq. The net residual emissions significantly drop to 241.35 Mt CO2-eq, resulting from the net negative emissions achieved through bioenergy production with CO2 capture (_398.30 Mt CO2-eq), alongside emissions from energy and material production, and energy use (297.17 Mt CO2-eq), as well as hard-to-abate direct emissions (342.47 Mt CO2-eq) from enteric fermentation, manure management, and rice cultivation. Achieving further emission reductions, even net-zero and negative emissions in Chinese crop-livestock production system will strongly depend on transitioning to low-carbon energy system and expanding agricultural waste-to-energy utilization combined with CO2 capture. © 2025 Institution of Chemical Engineers
";"23525509 (ISSN)
";;;"Article
";"of Science and Technology, University of Tsukuba, Tsukuba, 3058572, Japan
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001245905&doi=10.1016%2Fj.spc.2025.03.012&partnerID=40&md5=e3578efc9cddd66e097bddd0659220f8
";;;;;"10.1016/j.spc.2025.03.012
"
28;;;;"Influence of land use intensity on urban carbon efficiency under a carbon neutrality target: Evidence from the Yangtze River Delta urban agglomeration, China
";;"Export Date: 01 April 2026; Cited By: 18; Correspondence Address: Z. Qian; Institute of Ecological Civilization and Institute of Carbon Neutrality, Zhejiang A & F University, Zhejiang, Hangzhou, 311300, China; email: 20180045@zafu.edu.cn; CODEN: EIARD
";"Carbon neutrality; Seemingly unrelated regression model; Total-factor carbon productivity; Urban carbon efficiency; Urban land management; China; Yangtze River; Carbon capture and utilization; Carbon efficiency; Carbon neutralities; Carbon productivities; Land managements; Regression modelling; Seemingly unrelated regression; Seemingly unrelated regression model; Total-factor carbon productivity; Urban carbon efficiency; Urban land management; carbon sequestration; foreign direct investment; heterogeneity; land management; land use; urban population; Carbon sequestration";"Wu, X.; Zhong, S.; Chen, G.; Wu, C.; Han, J.; Qian, Z.";;2025;;;;;;;;"Environ. Impact Assess. Rev.
";"Environmental Impact Assessment Review
";110;;;"Elsevier Inc.
";;;;"Urban carbon efficiency (UCE) is a critical measure for guiding cities in reducing carbon emissions while sustaining economic growth. Enhancing UCEs through efficient urban land use is considered a key strategy. However, while previous research has explored the impact of urban land use on carbon efficiency, the influence under the constraints of carbon neutrality targets remains underexamined. To fill this gap, we apply a super-efficiency slack-based measure (SBM) model combined with a seemingly unrelated regression (SUR) model to assess the heterogeneous effects of land use intensity on UCEs within the carbon neutrality framework. Additionally, we use a causal mediation effect model to identify the mediating factors. Using data from 2000 to 2019 for 41 prefecture-level cities in China's Yangtze River Delta urban agglomeration, we find the following: (1) A 1% decrease in land use intensity (urban land use per unit of GDP) leads to a 0.745% increase in UCE and a 0.227% increase in carbon neutrality potential (CNP) when carbon sequestration is included in the UCE calculation, both at a significance level of 1%. (2) The negative effects of land use intensity show significant heterogeneity across different city types. Specifically, it significantly impacts both UCE and CNP in cities with high economic levels and low ecological levels but significantly affects only UCE in other cities. (3) The urban population and built-up area amplify the influence of land use intensity on UCEs through mediating effects, whereas factors such as industrial structure, energy intensity, and foreign direct investment mitigate this influence. These findings underscore the importance of incorporating carbon sequestration in UCE assessments under carbon neutrality constraints. They also suggest that policy-makers should adopt differentiated urban land management strategies tailored to the socioeconomic and ecological conditions of different cities to enhance UCEs within urban agglomerations. © 2024 Elsevier Inc.
";"01959255 (ISSN)
";;;"Article
";"College of Economics and Management, Zhejiang A & F University, Hangzhou, Zhejiang, 311300, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206257073&doi=10.1016%2Fj.eiar.2024.107689&partnerID=40&md5=55276fe5febc0bd838be88ae95f0e75d
";;;;;"10.1016/j.eiar.2024.107689
"
29;;;;"The Development Path and Carbon-Reduction Method of Low-Carbon Pilot Urban Areas in China
";;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: H. Zhou; China Academy of Building Research, Beijing, 100013, China; email: zhznhm@163.com
";"carbon emission calculation model; carbon emission peak prediction; carbon-emission-reduction path; carbon-reduction path; Carbon capture and utilization; Carbon sequestration; Carbon emission calculation model; Carbon emission peak prediction; Carbon emissions; Carbon emissions reductions; Carbon reduction; Carbon-emission-reduction path; Carbon-reduction path; Emission calculation models; Emission peaks; Zero-carbon";"Zhou, L.; Wang, Q.; Zhou, H.; Jiang, Y.; Yin, R.; Lu, T.";;2025;;;;;;;;"Buildings
";"Buildings
";15;7;;"Multidisciplinary Digital Publishing Institute (MDPI)
";;;;"Urban carbon emissions account for 75% of the total social emissions and are a key area for achieving the country’s “dual carbon” goals. This study takes the Sino-Singapore Tianjin Eco-City as a case, constructs a multi-dimensional carbon emission accounting model, integrates six systems, including buildings, transportation, water systems, solid waste, renewable energy, and carbon sinks, and proposes a comprehensive research method that takes into account both long-term prediction and a short-term dynamic analysis. The long-term emission trends under different scenarios are simulated through the KAYA model. It is found that under the enhanced low-carbon scenario, the Eco-City will reach its peak in 2043 (2.253 million tons of CO2) and drop to 2.182 million tons of CO2 in 2050. At the same time, after comparing models, such as random forest and support vector machine, the XGBoost algorithm is adopted for short-term prediction (R2 = 0.984, MAE = 0.195). The results show that it is significantly superior to traditional methods and can effectively capture the dynamic changes in fields, such as buildings and transportation. Based on the prediction results, the study proposes six types of collaborative emission-reduction paths: improving building energy efficiency (annual emission reduction of 93800 tons), promoting green travel (58,900 tons), increasing the utilization rate of non-conventional water resources (3700 tons), reducing per capita solid waste generation (14,400 tons), expanding the application of renewable energy (288,200 tons), and increasing green space carbon sinks (135,000 tons). The total annual emission-reduction potential amounts to 594,000 tons. This study provides a valuable reference for developing carbon reduction strategies in urban areas. © 2025 by the authors.
";"20755309 (ISSN)
";;;"Article
";"Lawrence Berkeley National Laboratory, San Francisco, 94720, CA, United States
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002292400&doi=10.3390%2Fbuildings15071096&partnerID=40&md5=a0eb8eb995727bb2e64c3dad5b3a9eab
";;;;;"10.3390/buildings15071096
"
30;;;;"The Wood Wide Web as a blueprint for carbon-neutral cities: a biomimetic model for adaptive energy sharing
";;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: R.V.A.D. Rahubadda; Department of Building Economics, University of Moratuwa, Moratuwa, Sri Lanka; email: dilrukshaashen@gmail.com; A. Manewa; Liverpool John Moores University, School of Civil Engineering and Built Environment, Liverpool, United Kingdom; email: r.m.manewa@ljmu.ac.uk
";"biomimicry; building information modelling; carbon neutrality; energy efficiency; et zero construction; urban energy system; Wood Wide Web";"Rahubadda, R.V.A.D.; Manewa, A.; Anagal, V.; Siriwardena, M.";;2025;;;;;;;;"Front. Built Environ.
";"Frontiers in Built Environment
";11;;;"Frontiers Media SA
";;;;"As urbanization accelerates and climate targets become increasingly urgent, conventional centralized energy systems are proving insufficient to support the transition toward low-carbon, resilient cities. This study proposes a novel biomimetic framework for urban energy systems, inspired by the Wood Wide Web, the mycorrhizal networks in forest ecologies that enable mutualistic, decentralized resource exchange. Guided by the biomimicry spiral methodology, the ecological principles of cooperation, adaptability, and distributed resilience are abstracted into a three-layer urban energy model comprising on-site renewable generation, peer-to-peer (P2P) energy sharing, and grid integration for redundancy. The model was operationalized through Building Information Modeling (BIM) simulations comparing two urban building clusters: a conventional baseline and a biomimetic cluster anchored by a high-performance “mother tree” structure, modeled after London’s Gherkin. Autodesk Revit’s Energy Analysis, Solar Radiation Analysis, and Carbon Insights tools were used to evaluate each scenario’s energy performance, solar generation potential, and carbon emissions. Results reveal a transformative impact: cooperative energy redistribution enabled multiple buildings to reach net-zero emissions, while the mother tree intervention alone achieved a 46% reduction in annual cluster-wide carbon output. The results demonstrate how decentralized, cooperative energy systems, modeled on ecological intelligence, can enhance system-wide resilience and carbon neutrality. This research advances biomimicry from conceptual metaphor to actionable infrastructure design, offering a scalable blueprint for regenerative, climate-adaptive urban energy systems. By embedding ecological principles into the built environment, cities can evolve into cooperative, circular systems aligned with nature’s logic and sustainability goals. Copyright © 2025 Rahubadda, Manewa, Anagal and Siriwardena.
";"22973362 (ISSN)
";;;"Article
";"Dr Bhanuben Nanavati College of Architecture for Women, Pune, India
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017812283&doi=10.3389%2Ffbuil.2025.1681714&partnerID=40&md5=68b8baa30d671082ef784ef5c58cd4bb
";;;;;"10.3389/fbuil.2025.1681714
"
31;;;;"Spatio-temporal evolution and multi-subject influencing factors of urban green development efficiency in China: Under the carbon neutral vision constraint
";;"Export Date: 01 April 2026; Cited By: 12; Correspondence Address: S. Li; Joint National-Local Engineering Research Centre for Safe and Precise Coal Mining, Anhui University of Science and Technology, Huainan, Anhui, 232001, China; email: shanshanli0809@163.com
";"Carbon neutral vision; Green development efficiency; Panel Tobit model; REGB impact framework; SBM-Undesirable model; Spatial and temporal patterns; China; Carbon capture and utilization; Carbon cycle; Carbon sequestration; Green economy; Sustainable city; Zero-carbon; Carbon carbons; Carbon neutral vision; Carbon neutrals; Carbon peaks; Green development efficiency; Panel tobit model; REGB impact framework; SBM-undesirable model; Spatial and temporal patterns; Urban characteristics; carbon emission; emission control; green economy; spatiotemporal analysis; sustainable development; urban development; urban system; Green development";"Wang, Y.; Li, S.; Gu, X.; Sun, Q.; Zhang, R.; Chen, F.";;2024;;;;;;;;"Ecol. Indic.
";"Ecological Indicators
";167;;;"Elsevier B.V.
";;;;"A crucial strategic choice for China's sustainable growth in the new era is the carbon peak & carbon neutral (30–60) aim, which has set new and higher requirements for the green and sustainable development of cities in the new era, and the carbon peak & carbon neutral level is gradually becoming one of the important indicators of the green and sustainable development of cities. Based on disentangling the connotation of urban green development under the vision of carbon neutrality, this study constructed a framework system for assessing urban green development in the new era, measured and portrayed the spatial and temporal variation characteristics of green development efficiency (C-GDE) under the carbon neutrality constraint in 284 prefecture-level and above cities in China using the SBM-Undesirable model, and further explored the effect of multi-subject factors on urban C-GDE using the panel Tobit model. The main findings are as follows. (1) The average allocation level of C-GDE in Chinese cities has remained at a low level from 2009 to 2019, with an overall “V”-shaped trend of “down _ up”, increasing from 0.4031 to 0.5206, an overall increase of 29.15 %. (2) The overall C-GDE of Chinese cities showed the decreasing characteristics of “western cities > eastern cities > central cities”, “super cities > small cities > medium cities > large cities > mega cities > mega cities”, “non class cluster cities > class II cities > class III cities > class I cities”, and “agriculture-led cities > industry-led cities > balanced development cities > business and tourism service cities”. (3) The spatio-temporal pattern of urban C-GDE was influenced by multiple factors such as individual-level factors, enterprise-level factors, government-level factors, and other basic-level characteristic factors. Each factor, through its own evolution or coupling with other factors, continuously shaped the internal development of the urban system and promotes the greening process and urban C-GDE. Finally, targeted recommendations were made based on the findings of the study. © 2024 The Author(s)
";"1470160X (ISSN)
";;;"Article
";"School of Economics and Management, China University of Mining and Technology, Jiangsu Province, Xuzhou, 221116, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203809970&doi=10.1016%2Fj.ecolind.2024.112580&partnerID=40&md5=1082852e5cf3bd867506ea495c91c044
";;;;;"10.1016/j.ecolind.2024.112580
"
32;;;;"Advancements in waste-to-hydrogen technologies across Asia: A critical review of thermal conversion process on hydrogen
";;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: W.-C. Wang; Department of Aeronautics and Astronautics, National Cheng Kung University, Tainan, 70101, Taiwan; email: wilsonwang@mail.ncku.edu.tw; J.-K. Kuo; Department of Mechanical and Electro-Mechanical Engineering, National Sun Yat-sen University, Kaohsiung, 804201, Taiwan; email: jenn.kun@mail.nsysu.edu.tw; H.-W. Hsu; Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan; email: hwhsu@ntut.edu.tw; CODEN: ENEYD
";"Circular economy; Hydrogen energy; Net zero; Techno-economic Analysis; Thermal treatment; Waste-to-hydrogen; China; Japan; Korea; Agricultural wastes; Byproducts; Carbon dioxide; Economic analysis; Gasification; Hydrogen economy; Hydrogen production; Municipal solid waste; Public policy; Waste treatment; % reductions; Circular economy; Critical review; Hydrogen Energy; Hydrogen technologies; Net zero; Techno-Economic analysis; Thermal; Thermal conversion; Waste-to-hydrogen; byproduct; circular economy; hydrogen; industrial waste; thermal power; Heat treatment";"Aji Nugroho, R.A.; Aspriyanti, V.A.; Cahyono, A.; Sopandi, T.P.; Wang, W.-C.; Kuo, J.-K.; Huang, C.-N.; Hsu, H.-W.";;2026;;;;;;;;"Energy
";"Energy
";344;;;"Elsevier Ltd
";;;;"The increasing energy demand and escalating waste generation in Asia have driven the exploration of sustainable waste-to-hydrogen (WtH) technologies. Hydrogen production via thermochemical waste treatment-particularly gasification, pyrolysis, and plasma-assisted process, offers a promising pathway to convert municipal solid waste, agricultural residues, and industrial waste byproducts into a clean energy carrier. Despite numerous studies on WtH, a comprehensive assessment linking process performance, techno-economic feasibility, and policy frameworks across Asian countries remains limited. This review bridges the gap by systematically examining over 200 recent publications to evaluate advancements, challenges, and prospects of hydrogen production through thermal treatment in the Asian context. Findings reveal substantial variations in feedstock composition, process efficiencies, hydrogen yields (30–65 %), and national policy frameworks. Plasma-assisted gasification demonstrates superior performance, with hydrogen contents reaching up to 50 vol% in syngas and notable reductions in CO2 emissions, though high capital intensity remains a barrier. Economic assessments indicate a levelized cost of hydrogen between 2 and 6 USD/kg H2, while environmental evaluations suggest reductions of 2–30 kg CO2-eq per kg H2 produced. Policy analysis highlights both enabling drivers, such as feed-in tariffs and renewable portfolio standards in Japan, Korea, and China, and persisting barriers related to financing, infrastructure, and regulatory inconsistencies. Overall, this review underscores that advancing WtH technologies in Asia requires coordinated efforts in pilot-scale validation, demonstration projects, and cross-sectoral collaboration. By overcoming technical and policy challenges, WtH can play a critical role in achieving Asia's net-zero and circular economy targets. © 2025 Elsevier Ltd
";"03605442 (ISSN)
";;;"Review
";"Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027274109&doi=10.1016%2Fj.energy.2025.139810&partnerID=40&md5=b86e0e9bc100014e90a5541f1e75e8d6
";;;;;"10.1016/j.energy.2025.139810
"
33;;;;"Green pathways to carbon neutrality: evidence from South Asian economies
";;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: I. Khan; Department of Economics, The University of Haripur, Haripur, Pakistan; email: imran@aup.edu.pk
";"Carbon neutrality; Industrial structure; Panel ARDL; Renewable energy; SAARC countries; Carbon Economy; Carbon emissions; Costs; Economic analysis; Energy policy; Green development; Green economy; Green manufacturing; Industrial economics; International cooperation; Renewable energy; Sustainable development; Auto-regressive; Carbon emissions; Carbon neutralities; Gross domestic products; Industrial structures; Panel autoregressive distributed lag; Regional cooperation; Renewable energies; Renewable energy consumption; South asian association for regional cooperation country; Carbon dioxide";"Bibi, A.; Khan, I.; Shahzad, M.; Rehman, M.Z.";;2026;;;;;;;;"Carbon. Res.
";"Carbon Research
";5;1;;"Springer Nature
";;;;"Comprising eight nations and over one-fifth of the world’s population, the South Asian Association for Regional Cooperation (SAARC) is an important bloc. Its green-economy transition relies on coordinated efforts by national and local governments, private firms, community groups, and international agencies, and is supported by renewable-energy incentives, carbon-pricing mechanisms, sustainable land-use policies, and green-finance initiatives. This study aims to identify effective strategies and policy recommendations that support economic sustainability and carbon neutrality in the SAARC region through a thorough analysis of the causal relationships between economic indicators and carbon emissions. The study utilizes the Panel cointegration tests (the Kao test and the Pedroni tests), and the Panel Autoregressive Distributed Lag (ARDL) approach to examine the interconnections between economic growth, use of renewable energy, social entrepreneurship, and carbon emission in SAARC countries. The current study aims to examine the short-term dynamics and long-term equilibrium between important variables like Gross Domestic Product (GDP), natural resources (NR), globalization index (GI), industrial structure (IS), renewable energy consumption (REC), and carbon dioxide emissions (CO_). Our results show that a 1 percent increase in globalization raises GDP by 2.61 percent, a 1 percent increase in the sustainable development index raises GDP by 0.10 percent, and a 1 percent increase in industrial structure raises GDP by 0.56 percent. Also, a 1percent increase in natural resources causes CO_ emissions to go up by 0.057 percent in the long term, while a 1 percent rise in globalization and industrial structure causes CO_ emissions to go up by 0.278 percent and 0.222 percent, respectively. The results show that REC and carbon emissions are inversely related to each other, suggesting that a 1 percent increase in REC may lead to a long-term reduction in CO_ emissions of 0.316 percent. Our findings imply that SAARC policymakers should boost REC, realign industrial structures, and implement carbon_pricing mechanisms to drive economic growth while achieving carbon neutrality. With the help of these findings, policymakers can make informed choices that will advance sustainable development and help the SAARC nations become carbon neutral. © The Author(s) 2026.
";"27316696 (ISSN)
";;;"Article
";"Department of Finance, College of Business Administration, King Saud University, Riyadh, Saudi Arabia
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031745105&doi=10.1007%2Fs44246-025-00243-3&partnerID=40&md5=6a9e33dd5c0257208a4d908a42fadd5b
";;;;;"10.1007/s44246-025-00243-3
"
34;;;;"The effects of internet infrastructure on carbon neutrality
";;"Export Date: 01 April 2026; Cited By: 3; Correspondence Address: T. Pan; School of Information Engineering, College of Science & Technology Ningbo University, Ningbo, 315300, China; email: pantiejun@nbu.edu.cn
";"Broadband China policy; Carbon emissions; Carbon neutrality; Carbon sinks";"Shen, W.; Yu, X.; Sun, T.; Pan, T.; Zhong, S.";;2025;;;;;;;;"Int. Rev. Econ. Financ.
";"International Review of Economics and Finance
";99;;;"Elsevier Inc.
";;;;"Internet infrastructure is a cornerstone of modern society, yet its environmental impact remains debated. While prior studies emphasize its role in carbon emissions, the broader climate effects—including carbon sinks—are poorly understood. This research addresses this gap by evaluating how China's national Broadband China Policy (BCP), a large-scale internet infrastructure initiative, influences both carbon emissions and carbon sinks. Using a staggered Difference-in-Differences (DID) approach to analyze the policy as a natural experiment, this study finds that the BCP led to an approximately 3.34% increase in total carbon sinks. While there is insufficient statistical evidence to support the BCP's effect on reducing overall carbon emissions, it has notably reduced the carbon emission intensity by approximately 5.3%. This reduction in energy consumption in both industrial and residential sectors serves as a crucial pathway through which the BCP contributes to carbon emission reduction. Additionally, enhancing forest and grassland cover, achieved by boosting public awareness of climate change issues, plays a vital role in the BCP's carbon sink effects. Cities with greater technological absorptive capacity experience more significant reductions in carbon emission intensity due to the BCP. Similarly, cities with more educated residents experience greater reductions in carbon emission intensity and enhanced carbon sink effects due to the BCP. These findings provide new insights into the climate change benefits associated with internet infrastructure and offer additional policy tools for reducing carbon emissions and enhancing carbon sinks. © 2025 The Authors
";"10590560 (ISSN)
";;;"Article
";"School of Business, Minnan Normal University, Zhangzhou, 363000, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219651767&doi=10.1016%2Fj.iref.2025.103964&partnerID=40&md5=48865a8aa602bd15520d0d78ae37e81c
";;;;;"10.1016/j.iref.2025.103964
"
35;;;;"The Role of Ecological Space Structure Optimization in Synergetic Sustainable Development: Evidence from the Guangdong–Hong Kong–Macao Greater Bay Area
";;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: S. Li; School of Architecture and Urban Planning, Guangdong University of Technology, Guangzhou, 510090, China; email: lishijie@gdut.edu.cn
";"carbon sinks; green space morphology; Guangdong–Hong Kong–Macao Greater Bay Area; landscape metrics; panel data models; Anatomy; Capacity; Carbon; Cities; Data; Development; Impact; Optimization; China; Guangdong; Hong Kong; Macau; Carbon cycle; Carbon sequestration; Green development; Kyoto Protocol; Low emission; Zero-carbon; Bay areas; Carbon sink; Green space morphology; Green spaces; Guangdong–hong kong–macao great bay area; Hong-kong; Landscape metric; Panel data models; Space morphologies; Urban green spaces; carbon sink; energy management; greenspace; landscape change; panel data; sustainable development; Carbon capture and utilization";"Fan, D.; Zeng, X.; Wang, H.; Wang, M.; Li, Q.; Jiang, H.; Li, S.";;2024;;;;;;;;"Forests
";"Forests
";15;12;;"Multidisciplinary Digital Publishing Institute (MDPI)
";;;;"Improving carbon sink capacity is critical for meeting energy conservation and emission reduction targets, along with low-carbon development goals. Although many researchers have recognized that urban space can significantly influence the capacity of carbon sinks in urban areas, few studies have quantified the impact of urban landscape patterns, particularly urban green space (UGS) morphology, on carbon sinks. This study quantitatively investigated the impact of UGS morphology on carbon sinks using panel data from nine cities in the Guangdong–Hong Kong–Macao Greater Bay Area (GBA), China, from 2000 to 2017. A series of landscape metrics and land-use data was first selected to quantify the four dimensions of UGS: scale, compactness, type diversity, and shape complexity. Subsequently, the impact of UGS morphology on carbon sinks was estimated using a panel data model. The main findings were as follows. (1) From the carbon sink results, the carbon sink in the GBA was found to be in an evolutionarily stable state, reflecting the relatively limited potential for carbon enhancement in the region. (2) From the landscape metrics results, the AREA_MD was mainly distributed between 0.18 and 0.27. The AI was mainly distributed between 80 and 97, with a concentration at 90. The PAFRAC was mainly distributed between 1.39 and 1.43, with a concentration at 1.41. PR was mainly distributed between 6 and 7. There was a large disparity in the scale of UGS morphology between GBA cities, with an irregular and complex pattern that became more compact over time. (3) From the panel data results, the AI (p < 0.001) had a significant positive impact on carbon sinks, while PR (p < 0.001) had a significant negative impact. The more compact the UGS morphology, the greater the total carbon sink, and the more complex the UGS morphology, the smaller the total carbon sink. The findings highlighted the importance of urban planning and UGS morphological optimization for increasing carbon sink capacity, as well as providing policy makers and urban planners with theoretical references and guidance for achieving climate goals. © 2024 by the authors.
";"19994907 (ISSN)
";;;"Article
";"Landscape Planning and Ecological Restoration Research Center, Guangdong University of Technology, Guangzhou, 510090, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213084220&doi=10.3390%2Ff15122225&partnerID=40&md5=f86c9183e68ee6794b73efe9ac1fe290
";;;;;"10.3390/f15122225
"
36;;;;"Optimal Operation of Agricultural Park Considering Carbon-Green Certificate Joint Trading and Demand Response
";;"Export Date: 01 April 2026; Cited By: 1; Conference name: 7th IEEE International Electrical and Energy Conference, CIEEC 2024; Conference date: 10 May 2024 through 12 May 2024; Conference code: 201080
";"agricultural park; carbon-green certificate joint trading; demand response; low-carbon economy; Agriculture; Commerce; Emission control; Energy utilization; Environmental management; Renewable energy; Agricultural parks; Carbon neutralities; Carbon-green certificate joint trading; Conversion characteristics; Demand response; Green certificates; Low carbon economy; Low-carbon economic; Multi energy; Optimal operation; Carbon";"Feng, J.; Yang, D.";;2024;;3707;3713;;;;;"Proc. IEEE Int. Electr. Energy Conf., CIEEC
";"Proceedings of 2024 IEEE 7th International Electrical and Energy Conference, CIEEC 2024
";;;;"Institute of Electrical and Electronics Engineers Inc.
";;;;"In the context of the dual-carbon goal of 'peak car bon and carbon neutrality', to realize the low-carbon economic o peration of agricultural park, This paper proposes a method for optimizing the operation of agricultural park considering carbon -green certificate trading and demand response. Firstly, the multi -energy coupled conversion characteristics of an agricultural par k in a certain place are comprehensively considered for its fine m odeling. Secondly, a carbon and green certificate trading mechani sm should be introduced, linking green certificate trading with ca rbon trading based on the carbon emission reduction represented by the green certificates. At the same time, it optimizes the load-s ide energy use behavior through demand response to reduce the peak-to-valley load difference. Finally, a low-carbon economic sc heduling strategy under the carbon-green certificate trading mar ket is proposed to minimize the sum of the system's operating cos ts, simulation results show that this method can effectively reduce the system operation cost and increase the rate of renewable ene rgy consumption.  © 2024 IEEE.
";"979-835035955-8 (ISBN)
";;;"Conference paper
";"China Agricultural University, College of Information and Electrical Engineering, Beijing, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200246889&doi=10.1109%2FCIEEC60922.2024.10583848&partnerID=40&md5=83cbce8644029c4607cf5527162a408c
";;;;;"10.1109/CIEEC60922.2024.10583848
"
